phone,test,group_id,label,link,proto,role,obs_mean_power_W,obs_throughput_MBps,E_batt_Wh_assumed,tte_obs_equiv_h,cpu_load_used,tte_model_mean_h,tte_model_p05_h,tte_model_p95_h,avg_power_model_W,n,p_cutoff,p_soc_min,p_insufficient_power
Note 4,smartphoneServerTcpDirect,direct/tcp/server,Note 4:smartphoneServerTcpDirect,direct,tcp,server,3.996828547579299,10.2375,14.8,3.702935921272805,0.487125,1.7794742605624765,1.7794143742338129,1.7795339530467282,7.6150183198304,10,1.0,0.0,0.0
Mini,smartphoneClientTcpRouter,router/tcp/client,Mini:smartphoneClientTcpRouter,router,tcp,client,4.1004165275459075,3.3125,14.8,3.609389412167299,0.279375,4.033443714747007,4.0330830909583435,4.03370666355789,3.4662266368215255,10,1.0,0.0,0.0
Mini,smartphoneClientUdpRouter,router/udp/client,Mini:smartphoneClientUdpRouter,router,udp,client,4.121402166666671,2.4903314917127077,14.8,3.591010874818368,0.2547099447513812,4.725906322599269,4.725480478391183,4.726167957585857,2.97193379854398,10,1.0,0.0,0.0
Note 4,smartphoneClientUdpRouter,router/udp/client,Note 4:smartphoneClientUdpRouter,router,udp,client,4.256428046744575,5.269044502617801,14.8,3.4770939006755723,0.338071335078534,2.9752016553104403,2.9749980894466383,2.9753750900458726,4.651184727494374,10,1.0,0.0,0.0
Note 4,smartphoneClientTcpRouter,router/tcp/client,Note 4:smartphoneClientTcpRouter,router,tcp,client,4.260006844741233,4.725,14.8,3.474172821639915,0.32175,3.2117098791896246,3.2113639200421145,3.21194208297895,4.320505519631825,10,1.0,0.0,0.0
Note 3,smartphoneServerTcpDirect,direct/tcp/server,Note 3:smartphoneServerTcpDirect,direct,tcp,server,4.397307512520868,5.175,14.8,3.365695930488956,0.33525,3.0136857067514087,3.0134845039483182,3.0138646252538455,4.593954927772956,10,1.0,0.0,0.0
Note 3,smartphoneServerTcpRouter,router/tcp/server,Note 3:smartphoneServerTcpRouter,router,tcp,server,4.500196828046743,3.2875,14.8,3.288745040608316,0.278625,4.051609007669315,4.051222078678855,4.051872029141913,3.451162675157554,10,1.0,0.0,0.0
Note 3,smartphoneClientUdpRouter,router/udp/client,Note 3:smartphoneClientUdpRouter,router,udp,client,4.574386477462438,3.6361878453038674,14.8,3.2354065562492753,0.289085635359116,3.8116231012989426,3.8110542783718873,3.8118864967410455,3.6614400163937098,10,1.0,0.0,0.0
Note 3,smartphoneClientTcpRouter,router/tcp/client,Note 3:smartphoneClientTcpRouter,router,tcp,client,5.0854193656093445,3.175,14.8,2.910281126486141,0.27525,4.135319855536669,4.13492521034069,4.135596689234161,3.3833956686983937,10,1.0,0.0,0.0
Note 4,smartphoneClientUdpDirect,direct/udp/client,Note 4:smartphoneClientUdpDirect,direct,udp,client,5.186716360600999,10.0939226519337,14.8,2.853443097915052,0.4828176795580109,1.7996017286036807,1.7995438640145738,1.799665647878737,7.5335195765197795,10,1.0,0.0,0.0
Note 4,smartphoneClientTcpDirect,direct/tcp/client,Note 4:smartphoneClientTcpDirect,direct,tcp,client,5.375932554257092,9.8625,14.8,2.753010728953469,0.475875,1.8326241022284917,1.8325673276375711,1.832681628283554,7.403604522290655,10,1.0,0.0,0.0
Note 3,smartphoneClientUdpDirect,direct/udp/client,Note 3:smartphoneClientUdpDirect,direct,udp,client,5.466472454090146,5.9274171270718226,14.8,2.707413258604511,0.3578225138121547,2.730053187662609,2.729871516988184,2.730175419844868,5.0524765146171475,10,1.0,0.0,0.0
Note 3,smartphoneClientTcpDirect,direct/tcp/client,Note 3:smartphoneClientTcpDirect,direct,tcp,client,6.015519699499161,5.3375,14.8,2.4603028066273667,0.340125,2.947784078400284,2.9475859284994947,2.9479567829401176,4.692844815323327,10,1.0,0.0,0.0
