soc,ocv_V,v_cut_V
0.0,3.0,3.3
0.005025125628140704,3.030150753768844,3.3
0.010050251256281407,3.0603015075376883,3.3
0.01507537688442211,3.090452261306533,3.3
0.020100502512562814,3.120603015075377,3.3
0.02512562814070352,3.150753768844221,3.3
0.03015075376884422,3.1809045226130657,3.3
0.035175879396984924,3.2110552763819094,3.3
0.04020100502512563,3.241206030150754,3.3
0.04522613065326633,3.2713567839195985,3.3
0.05025125628140704,3.301507537688442,3.3
0.05527638190954774,3.3316582914572868,3.3
0.06030150753768844,3.361809045226131,3.3
0.06532663316582915,3.391959798994975,3.3
0.07035175879396985,3.422110552763819,3.3
0.07537688442211056,3.4522613065326633,3.3
0.08040201005025126,3.4824120603015074,3.3
0.08542713567839195,3.512562814070352,3.3
0.09045226130653267,3.542713567839196,3.3
0.09547738693467336,3.5728643216080402,3.3
0.10050251256281408,3.6002512562814073,3.3
0.10552763819095477,3.6027638190954776,3.3
0.11055276381909548,3.605276381909548,3.3
0.11557788944723618,3.607788944723618,3.3
0.12060301507537688,3.6103015075376885,3.3
0.12562814070351758,3.612814070351759,3.3
0.1306532663316583,3.615326633165829,3.3
0.135678391959799,3.6178391959798994,3.3
0.1407035175879397,3.6203517587939698,3.3
0.1457286432160804,3.62286432160804,3.3
0.15075376884422112,3.625376884422111,3.3
0.15577889447236182,3.627889447236181,3.3
0.16080402010050251,3.6304020100502514,3.3
0.1658291457286432,3.6329145728643217,3.3
0.1708542713567839,3.635427135678392,3.3
0.17587939698492464,3.6379396984924623,3.3
0.18090452261306533,3.6404522613065327,3.3
0.18592964824120603,3.642964824120603,3.3
0.19095477386934673,3.6454773869346733,3.3
0.19597989949748745,3.6479899497487436,3.3
0.20100502512562815,3.6505025125628143,3.3
0.20603015075376885,3.6530150753768846,3.3
0.21105527638190955,3.655527638190955,3.3
0.21608040201005024,3.6580402010050252,3.3
0.22110552763819097,3.6605527638190956,3.3
0.22613065326633167,3.663065326633166,3.3
0.23115577889447236,3.665577889447236,3.3
0.23618090452261306,3.6680904522613065,3.3
0.24120603015075376,3.670603015075377,3.3
0.24623115577889448,3.673115577889447,3.3
0.25125628140703515,3.675628140703518,3.3
0.2562814070351759,3.678140703517588,3.3
0.2613065326633166,3.6806532663316585,3.3
0.2663316582914573,3.6831658291457288,3.3
0.271356783919598,3.685678391959799,3.3
0.2763819095477387,3.6881909547738694,3.3
0.2814070351758794,3.6907035175879397,3.3
0.2864321608040201,3.69321608040201,3.3
0.2914572864321608,3.6957286432160803,3.3
0.2964824120603015,3.6982412060301506,3.3
0.30150753768844224,3.700753768844222,3.3
0.3065326633165829,3.7032663316582917,3.3
0.31155778894472363,3.7057788944723624,3.3
0.3165829145728643,3.7082914572864323,3.3
0.32160804020100503,3.7108040201005026,3.3
0.32663316582914576,3.7133165829145725,3.3
0.3316582914572864,3.715829145728643,3.3
0.33668341708542715,3.718341708542713,3.3
