soc,ocv_V,v_cut_V
0.0,3.0115,3.3
0.002506265664160401,3.029845864661654,3.3
0.005012531328320802,3.048191729323308,3.3
0.007518796992481203,3.066537593984962,3.3
0.010025062656641603,3.0848834586466163,3.3
0.012531328320802004,3.1032293233082706,3.3
0.015037593984962405,3.1215751879699245,3.3
0.017543859649122806,3.139921052631579,3.3
0.020050125313283207,3.1582669172932327,3.3
0.022556390977443608,3.176612781954887,3.3
0.02506265664160401,3.1949586466165414,3.3
0.02756892230576441,3.2133045112781957,3.3
0.03007518796992481,3.231650375939849,3.3
0.03258145363408521,3.2499962406015035,3.3
0.03508771929824561,3.268342105263158,3.3
0.03759398496240601,3.286687969924812,3.3
0.040100250626566414,3.3050338345864665,3.3
0.042606516290726815,3.32337969924812,3.3
0.045112781954887216,3.3417255639097743,3.3
0.047619047619047616,3.3600714285714286,3.3
0.05012531328320802,3.377629072681704,3.3
0.05263157894736842,3.3802105263157896,3.3
0.05513784461152882,3.3827919799498742,3.3
0.05764411027568922,3.38537343358396,3.3
0.06015037593984962,3.387954887218045,3.3
0.06265664160401002,3.3905363408521305,3.3
0.06516290726817042,3.393117794486215,3.3
0.06766917293233082,3.3956992481203003,3.3
0.07017543859649122,3.398280701754386,3.3
0.07268170426065163,3.400862155388471,3.3
0.07518796992481203,3.403443609022556,3.3
0.07769423558897243,3.4060250626566413,3.3
0.08020050125313283,3.4086065162907264,3.3
0.08270676691729323,3.411187969924812,3.3
0.08521303258145363,3.4137694235588967,3.3
0.08771929824561403,3.4163508771929822,3.3
0.09022556390977443,3.418932330827068,3.3
0.09273182957393483,3.421513784461153,3.3
0.09523809523809523,3.4240952380952376,3.3
0.09774436090225563,3.426676691729323,3.3
0.10025062656641603,3.4292030075187965,3.3
0.10275689223057644,3.431233082706767,3.3
0.10526315789473684,3.4332631578947366,3.3
0.10776942355889724,3.4352932330827066,3.3
0.11027568922305764,3.4373233082706767,3.3
0.11278195488721804,3.4393533834586467,3.3
0.11528822055137844,3.4413834586466168,3.3
0.11779448621553884,3.443413533834586,3.3
0.12030075187969924,3.445443609022556,3.3
0.12280701754385964,3.447473684210526,3.3
0.12531328320802004,3.449503759398496,3.3
0.12781954887218044,3.451533834586466,3.3
0.13032581453634084,3.453563909774436,3.3
0.13283208020050125,3.455593984962406,3.3
0.13533834586466165,3.457624060150376,3.3
0.13784461152882205,3.459654135338346,3.3
0.14035087719298245,3.461684210526316,3.3
0.14285714285714285,3.463714285714286,3.3
0.14536340852130325,3.4657443609022556,3.3
0.14786967418546365,3.467774436090225,3.3
0.15037593984962405,3.4698571428571428,3.3
0.15288220551378445,3.4722380952380956,3.3
0.15538847117794485,3.4746190476190475,3.3
0.15789473684210525,3.4770000000000003,3.3
0.16040100250626566,3.4793809523809527,3.3
0.16290726817042606,3.481761904761905,3.3
0.16541353383458646,3.4841428571428574,3.3
0.16791979949874686,3.48652380952381,3.3
0.17042606516290726,3.488904761904762,3.3
0.17293233082706766,3.491285714285714,3.3
