load_label,battery_state_label,SOH_mean,soc_mean,soc_min,soc_max,n
中负载,new,1.0,0.04830262024238282,0.0195761750575077,0.0778039253624662,6
中负载,slight,0.9499190183117884,0.053999797420350944,0.0196522631148174,0.089251667923679,6
中负载,moderate,0.9000284662491006,0.056326180637057355,0.019675915064188,0.0939788838652849,6
中负载,aged,0.8504442392959901,0.05707927906702268,0.0195361298854786,0.0987119508180267,6
中负载,old,0.8000163594035469,0.06246832054864288,0.019594536162616,0.1073716701908517,6
中负载,eol,0.7020066278088005,0.0647850546730428,0.0194437859141207,0.1112559962174633,6
轻负载,new,1.0,0.04716397754161281,0.019725607310389,0.075377275305731,6
轻负载,slight,0.9499190183117884,0.052116912643651425,0.0197442904308131,0.0853955189406572,6
轻负载,moderate,0.9000284662491006,0.05401131249674571,0.0195977278101982,0.089202700942637,6
轻负载,aged,0.8504442392959901,0.0548022443937107,0.0195732448349241,0.0934710596487769,6
轻负载,old,0.8000163594035469,0.05918156568532048,0.0196605885413225,0.1001574053922148,6
轻负载,eol,0.7020066278088005,0.061119758369955125,0.0196424598984006,0.1035541393434111,6
重负载,new,1.0,0.050370749301418966,0.0193745556911837,0.0822952851115934,6
重负载,slight,0.9499190183117884,0.05784939813560589,0.0193716893167755,0.0971789838083991,6
重负载,moderate,0.9000284662491006,0.0605912896629211,0.0195424460497875,0.1028997750976674,6
重负载,aged,0.8504442392959901,0.0616131645827862,0.0191510176088349,0.1095159446723066,6
重负载,old,0.8000163594035469,0.06958873654787354,0.0192161776685183,0.1231306575443366,6
重负载,eol,0.7020066278088005,0.07366948687697321,0.0190200910589834,0.1298807550217908,6
