scenario_id,sample_idx,seed_idx,seed,tte_h,min_headroom_margin,status
S4_mixed_day,0,0,1007000000,12.380555555555556,0.9315513835469361,cutoff
S4_mixed_day,0,1,1007000001,12.363888888888889,0.9314520268883995,cutoff
S4_mixed_day,0,2,1007000002,12.410265230462372,0.9316347145313407,cutoff
S4_mixed_day,0,3,1007000003,12.36197619190325,0.9309497118371965,cutoff
S4_mixed_day,0,4,1007000004,12.41886942346396,0.9309342838852322,cutoff
S4_mixed_day,0,5,1007000005,12.361723466304815,0.9313614687698786,cutoff
S4_mixed_day,0,6,1007000006,12.399965777456654,0.9312326531910884,cutoff
S4_mixed_day,0,7,1007000007,12.330555555555556,0.9320283120654906,cutoff
S4_mixed_day,1,0,1007010000,12.691666666666666,0.9472085226646225,soc_min
S4_mixed_day,1,1,1007010001,12.697222222222223,0.9462469563416914,soc_min
S4_mixed_day,1,2,1007010002,12.719444444444445,0.9477623134845932,soc_min
S4_mixed_day,1,3,1007010003,12.655555555555555,0.9474655735409986,soc_min
S4_mixed_day,1,4,1007010004,12.73611111111111,0.9472708469580097,soc_min
S4_mixed_day,1,5,1007010005,12.747222222222222,0.9463618773778144,soc_min
S4_mixed_day,1,6,1007010006,12.702777777777778,0.9472165838735943,soc_min
S4_mixed_day,1,7,1007010007,12.719444444444445,0.9473540307539386,soc_min
S4_mixed_day,2,0,1007020000,9.527777777777779,0.929768449577565,soc_min
S4_mixed_day,2,1,1007020001,9.491666666666667,0.9297098228233247,soc_min
S4_mixed_day,2,2,1007020002,9.41388888888889,0.9294900072428617,soc_min
S4_mixed_day,2,3,1007020003,9.48611111111111,0.9285831356508776,soc_min
S4_mixed_day,2,4,1007020004,9.475,0.9291263784485002,soc_min
S4_mixed_day,2,5,1007020005,9.444444444444445,0.9284642869543548,soc_min
S4_mixed_day,2,6,1007020006,9.466666666666667,0.9285540043040037,soc_min
S4_mixed_day,2,7,1007020007,9.433333333333334,0.9296935658454399,soc_min
S4_mixed_day,3,0,1007030000,9.113888888888889,0.9493618407819301,soc_min
S4_mixed_day,3,1,1007030001,9.080555555555556,0.9497911077860448,soc_min
S4_mixed_day,3,2,1007030002,9.122222222222222,0.9494359568148489,soc_min
S4_mixed_day,3,3,1007030003,9.097222222222221,0.94910264473352,soc_min
S4_mixed_day,3,4,1007030004,9.088888888888889,0.9498725181303379,soc_min
S4_mixed_day,3,5,1007030005,9.127777777777778,0.9490044998739859,soc_min
S4_mixed_day,3,6,1007030006,9.052777777777777,0.9496012730011631,soc_min
S4_mixed_day,3,7,1007030007,9.108333333333333,0.9489869457845324,soc_min
S4_mixed_day,4,0,1007040000,12.278659255950942,0.9040917261494109,cutoff
S4_mixed_day,4,1,1007040001,12.125779787034297,0.9033785167074735,cutoff
S4_mixed_day,4,2,1007040002,12.232318379250518,0.9040912876625884,cutoff
S4_mixed_day,4,3,1007040003,12.17872110382447,0.9040254778436841,cutoff
S4_mixed_day,4,4,1007040004,12.295355498461877,0.9038091919267615,cutoff
S4_mixed_day,4,5,1007040005,12.191666666666666,0.9024944317541487,cutoff
S4_mixed_day,4,6,1007040006,12.210993619374223,0.9037280089905286,cutoff
S4_mixed_day,4,7,1007040007,12.242468195058713,0.90249480958151,cutoff
S4_mixed_day,5,0,1007050000,14.380327624917284,0.9389292997738694,cutoff
S4_mixed_day,5,1,1007050001,14.375,0.9393108343036802,cutoff
S4_mixed_day,5,2,1007050002,14.39078835035711,0.9397176499229225,cutoff
S4_mixed_day,5,3,1007050003,14.322222222222223,0.9387982310777762,cutoff
S4_mixed_day,5,4,1007050004,14.397661968802945,0.9393438718924482,cutoff
S4_mixed_day,5,5,1007050005,14.311475212081753,0.9385049463516342,cutoff
S4_mixed_day,5,6,1007050006,14.419110796245398,0.9392101185231552,cutoff
S4_mixed_day,5,7,1007050007,14.344598582279147,0.9386412515846966,cutoff
S4_mixed_day,6,0,1007060000,10.424125653950423,0.891177198690653,cutoff
S4_mixed_day,6,1,1007060001,10.530013649914741,0.8913280675055907,cutoff
S4_mixed_day,6,2,1007060002,10.494444444444444,0.8912464802092508,cutoff
S4_mixed_day,6,3,1007060003,10.515543577102807,0.8902404094554195,cutoff
S4_mixed_day,6,4,1007060004,10.436111111111112,0.8912407902496542,cutoff
S4_mixed_day,6,5,1007060005,10.499939022209889,0.8912383109028239,cutoff
S4_mixed_day,6,6,1007060006,10.536585567859442,0.8910855251437403,cutoff
S4_mixed_day,6,7,1007060007,10.523949672686834,0.8896843778524778,cutoff
S4_mixed_day,7,0,1007070000,10.088888888888889,0.9399845425144151,soc_min
S4_mixed_day,7,1,1007070001,10.13888888888889,0.9406548588235379,soc_min
S4_mixed_day,7,2,1007070002,10.202777777777778,0.9402496823147835,soc_min
S4_mixed_day,7,3,1007070003,10.025,0.9407655255392461,soc_min
S4_mixed_day,7,4,1007070004,10.088888888888889,0.9396526075153793,soc_min
S4_mixed_day,7,5,1007070005,10.108333333333333,0.9400384081203842,soc_min
S4_mixed_day,7,6,1007070006,10.077777777777778,0.9407932287097951,soc_min
S4_mixed_day,7,7,1007070007,10.091666666666667,0.9408120361071645,soc_min
S4_mixed_day,8,0,1007080000,12.488674928235708,0.9279585248098108,cutoff
S4_mixed_day,8,1,1007080001,12.382547405523733,0.9278801912065421,cutoff
S4_mixed_day,8,2,1007080002,12.461435259543132,0.9278900544176794,cutoff
S4_mixed_day,8,3,1007080003,12.452549117559292,0.9278991274259243,cutoff
