scenario_id,scenario_title_zh,alpha,alpha_ref,seed,tte_h,tte_ref_h,delta_tte_pct,status,min_headroom_margin
S4_mixed_day,混合使用（标准一天）,0.5,0.5,1007000040,17.834536732441876,17.834536732441876,0.0,cutoff,0.9438016942658903
S4_mixed_day,混合使用（标准一天）,0.5,0.5,1007000041,17.86306942605874,17.86306942605874,0.0,cutoff,0.9437582093626592
S4_mixed_day,混合使用（标准一天）,0.5,0.5,1007000042,17.844444444444445,17.844444444444445,0.0,cutoff,0.943542640470295
S4_mixed_day,混合使用（标准一天）,0.5,0.5,1007000043,17.805555555555557,17.805555555555557,0.0,cutoff,0.9436982962998969
S4_mixed_day,混合使用（标准一天）,0.5,0.5,1007000044,17.868333629295382,17.868333629295382,0.0,cutoff,0.9436669387007667
S4_mixed_day,混合使用（标准一天）,0.5,0.5,1007000045,17.77370055499539,17.77370055499539,0.0,cutoff,0.9435625241000976
S4_mixed_day,混合使用（标准一天）,0.5,0.5,1007000046,17.852777777777778,17.852777777777778,0.0,cutoff,0.9436106020857765
S4_mixed_day,混合使用（标准一天）,0.5,0.5,1007000047,17.766007525855606,17.766007525855606,0.0,cutoff,0.9434967670779096
S4_mixed_day,混合使用（标准一天）,0.5,0.5,1007000048,17.840476406076306,17.840476406076306,0.0,cutoff,0.9435264193909323
S4_mixed_day,混合使用（标准一天）,0.5,0.5,1007000049,17.874110474390772,17.874110474390772,0.0,cutoff,0.943778397298784
S4_mixed_day,混合使用（标准一天）,0.5,0.5,1007000050,17.84764795692291,17.84764795692291,0.0,cutoff,0.943518283363663
S4_mixed_day,混合使用（标准一天）,0.5,0.5,1007000051,17.741666666666667,17.741666666666667,0.0,cutoff,0.9436401330202848
S4_mixed_day,混合使用（标准一天）,0.5,0.5,1007000052,17.776693537606594,17.776693537606594,0.0,cutoff,0.9435429377679088
S4_mixed_day,混合使用（标准一天）,0.5,0.5,1007000053,17.822222222222223,17.822222222222223,0.0,cutoff,0.9436435935728528
S4_mixed_day,混合使用（标准一天）,0.5,0.5,1007000054,17.8493759230092,17.8493759230092,0.0,cutoff,0.9434822888112907
S4_mixed_day,混合使用（标准一天）,0.5,0.5,1007000055,17.82777777777778,17.82777777777778,0.0,cutoff,0.9435527184154587
S4_mixed_day,混合使用（标准一天）,0.5,0.5,1007000056,17.84722222222222,17.84722222222222,0.0,cutoff,0.9435181663859326
S4_mixed_day,混合使用（标准一天）,0.5,0.5,1007000057,17.872940574288457,17.872940574288457,0.0,cutoff,0.9435075263147791
S4_mixed_day,混合使用（标准一天）,0.5,0.5,1007000058,17.831179322072092,17.831179322072092,0.0,cutoff,0.9435767964212514
