scenario_id,title_zh,title_en,n_samples,P_total_W_median,P_total_W_p25,P_total_W_p75,TTE_full_h_median,TTE_full_h_p25,TTE_full_h_p75
S1_standby_light,S1 待机/轻度,S1 Standby/light,54,1.6701253561391236,1.602210174930831,1.836471687059404,9.22117427502878,8.385916151012054,9.611739254702577
S2_browse_social,S2 浏览/社交,S2 Browsing/social,49,2.3768004960943703,2.1066130523175053,2.6427568565858306,6.479298546641059,5.827248148698482,7.31031262863311
S3_video_streaming,S3 视频/直播,S3 Video/streaming,60,2.6625247820508235,2.277972104158553,2.8720060679165873,5.786177437117025,5.362188883277861,6.760404626403206
S4_gaming,S4 游戏,S4 Gaming,63,4.212984227707169,3.5813627059033877,4.510516821256875,3.655366165085583,3.414249415329279,4.300570830442915
S5_nav_call,S5 导航/通话,S5 Navigation/calls,65,2.539171709972044,2.0292718350290913,2.97450046022309,6.0649699031853,5.177339928481635,7.588929060250437
