scenario_id,scenario_title_zh,seed,tte_h,tte_mean_h,delta_tte_pct,status,min_headroom_margin
S0_standby,待机/轻后台,7010000,25.449897998063076,25.440367204349656,0.037463271016743085,cutoff,0.9715310220732428
S0_standby,待机/轻后台,7010001,25.44001693253912,25.440367204349656,-0.0013768347277473326,cutoff,0.9755317325801653
S0_standby,待机/轻后台,7010002,25.366666666666667,25.440367204349656,-0.28969918983868886,cutoff,0.9654888760223261
S0_standby,待机/轻后台,7010003,25.45267675419144,25.440367204349656,0.04838589688155151,cutoff,0.9706997962226314
S0_standby,待机/轻后台,7010004,25.40509689409303,25.440367204349656,-0.13863915553307815,cutoff,0.9730711984472001
S0_standby,待机/轻后台,7010005,25.474398700809374,25.440367204349656,0.13376967473134527,cutoff,0.9741212383946024
S0_standby,待机/轻后台,7010006,25.473931873656365,25.440367204349656,0.13193468882387457,cutoff,0.9676577985751238
S0_standby,待机/轻后台,7010007,25.408333333333335,25.440367204349656,-0.12591748679965448,cutoff,0.9707871908547053
S0_standby,待机/轻后台,7010008,25.445813988916857,25.440367204349656,0.021410007660071152,cutoff,0.9751948358933351
S0_standby,待机/轻后台,7010009,25.408759313545612,25.440367204349656,-0.12424306044858893,cutoff,0.9741822152256557
S0_standby,待机/轻后台,7010010,25.48653921961164,25.440367204349656,0.1814911510164435,cutoff,0.9708327117389133
S0_standby,待机/轻后台,7010011,25.46901988841627,25.440367204349656,0.11262684943366408,cutoff,0.9778645499054853
S0_standby,待机/轻后台,7010012,25.462447904061438,25.440367204349656,0.08679395047414007,cutoff,0.970423761843541
S0_standby,待机/轻后台,7010013,25.44520135526015,25.440367204349656,0.019001891252839877,cutoff,0.9738802377505925
S0_standby,待机/轻后台,7010014,25.446239949124706,25.440367204349656,0.0230843553785125,cutoff,0.9708960503918997
S0_standby,待机/轻后台,7010015,25.459456530368744,25.440367204349656,0.07503557580656507,cutoff,0.9717337378382034
S0_standby,待机/轻后台,7010016,25.372222222222224,25.440367204349656,-0.2678616294334815,cutoff,0.9715896745029979
S0_standby,待机/轻后台,7010017,25.444444444444443,25.440367204349656,0.016026655834158583,cutoff,0.9762147931065002
S0_standby,待机/轻后台,7010018,25.41111111111111,25.440367204349656,-0.11499870659705777,cutoff,0.9736287675946027
S0_standby,待机/轻后台,7010019,25.453179151273478,25.440367204349656,0.05036069967430199,cutoff,0.9714570358333572
S0_standby,待机/轻后台,7010020,25.43888888888889,25.440367204349656,-0.005810904571034831,cutoff,0.9744666548426008
S0_standby,待机/轻后台,7010021,25.471327631122453,25.440367204349656,0.12169803416793266,cutoff,0.978103779697933
S0_standby,待机/轻后台,7010022,25.454477533211946,25.440367204349656,0.05546432859616229,cutoff,0.9758689006098161
S0_standby,待机/轻后台,7010023,25.43013444248319,25.440367204349656,-0.04022253996678053,cutoff,0.9737614496109983
S0_standby,待机/轻后台,7010024,25.45145396504379,25.440367204349656,0.04357940514411483,cutoff,0.972422970052919
S0_standby,待机/轻后台,7010025,25.478616220761545,25.440367204349656,0.15034773714016814,cutoff,0.9737045313581821
S0_standby,待机/轻后台,7010026,25.36559225290989,25.440367204349656,-0.29392245339516704,cutoff,0.969191376813155
S0_standby,待机/轻后台,7010027,25.475,25.440367204349656,0.13613323806279218,cutoff,0.9709386208574966
S0_standby,待机/轻后台,7010028,25.43116565333944,25.440367204349656,-0.0361690966812819,cutoff,0.9714218308755591
S0_standby,待机/轻后台,7010029,25.436265968837365,25.440367204349656,-0.01612097608241168,cutoff,0.972063836202702
S0_standby,待机/轻后台,7010030,25.468456856456108,25.440367204349656,0.11041370543444579,cutoff,0.9759689786565864
S0_standby,待机/轻后台,7010031,25.460044034085165,25.440367204349656,0.0773449124277773,cutoff,0.9721057589180726
S0_standby,待机/轻后台,7010032,25.357259643522966,25.440367204349656,-0.3266759483427611,cutoff,0.9712479216261392
S0_standby,待机/轻后台,7010033,25.47675100624122,25.440367204349656,0.1430160248840392,cutoff,0.9716619956367545
S0_standby,待机/轻后台,7010034,25.478044441214678,25.440367204349656,0.1481002084693981,cutoff,0.972746852521231
S0_standby,待机/轻后台,7010035,25.408333333333335,25.440367204349656,-0.12591748679965448,cutoff,0.968423617354978
S0_standby,待机/轻后台,7010036,25.4370683614284,25.440367204349656,-0.01296696268084229,cutoff,0.9712934375795874
S0_standby,待机/轻后台,7010037,25.39910391071249,25.440367204349656,-0.16219614011746694,cutoff,0.9707631612171111
S0_standby,待机/轻后台,7010038,25.41628658935236,25.440367204349656,-0.09465513922762184,cutoff,0.9706209416095619
S0_standby,待机/轻后台,7010039,25.47222222222222,25.440367204349656,0.1252144578601815,cutoff,0.970012064875922
S0_standby,待机/轻后台,7010040,25.45745044588227,25.440367204349656,0.06715013739932602,cutoff,0.9759710770530768
S0_standby,待机/轻后台,7010041,25.38888888888889,25.440367204349656,-0.20234894821787333,cutoff,0.9717964482284085
S0_standby,待机/轻后台,7010042,25.46135867265618,25.440367204349656,0.08251244228477123,cutoff,0.9745267229580142
S0_standby,待机/轻后台,7010043,25.44616086140476,25.440367204349656,0.02277348046341758,cutoff,0.9731201782160783
S0_standby,待机/轻后台,7010044,25.431541487483294,25.440367204349656,-0.03469178253391215,cutoff,0.9743342171665448
S0_standby,待机/轻后台,7010045,25.469314992080864,25.440367204349656,0.11378683137191285,cutoff,0.9737263631505754
S0_standby,待机/轻后台,7010046,25.53976623348371,25.440367204349656,0.3907138145280406,cutoff,0.9714918790034235
S0_standby,待机/轻后台,7010047,25.5034885282874,25.440367204349656,0.248114830382444,cutoff,0.9747018633497601
S0_standby,待机/轻后台,7010048,25.471482476560475,25.440367204349656,0.12230669455706238,cutoff,0.9724519160145213
S0_standby,待机/轻后台,7010049,25.447222222222223,25.440367204349656,0.026945436036769257,cutoff,0.9732225902149373
S0_standby,待机/轻后台,7010050,25.380591042186246,25.440367204349656,-0.2349657993662489,cutoff,0.974525489171644
S0_standby,待机/轻后台,7010051,25.440156786650842,25.440367204349656,-0.0008271016574689328,cutoff,0.9751789915993877
S0_standby,待机/轻后台,7010052,25.451022868990503,25.440367204349656,0.04188486964537705,cutoff,0.9779846124240211
S0_standby,待机/轻后台,7010053,25.34722222222222,25.440367204349656,-0.36613065125690775,cutoff,0.9721832538653061
S0_standby,待机/轻后台,7010054,25.45007274843154,25.440367204349656,0.038150172927638476,cutoff,0.9687411934772321
S0_standby,待机/轻后台,7010055,25.46511846501203,25.440367204349656,0.097291286967516,cutoff,0.9712512599179339
S0_standby,待机/轻后台,7010056,25.436162684499912,25.440367204349656,-0.016526962114856908,cutoff,0.9734972303674592
S0_standby,待机/轻后台,7010057,25.48824837897957,25.440367204349656,0.18820944778551746,cutoff,0.9734390714037872
S0_standby,待机/轻后台,7010058,25.40277777777778,25.440367204349656,-0.14775504720486185,cutoff,0.9761115524906996
S0_standby,待机/轻后台,7010059,25.469448730075612,25.440367204349656,0.11431252344889298,cutoff,0.9766353043459951
S0_standby,待机/轻后台,7010060,25.43852417193336,25.440367204349656,-0.007244519709531713,cutoff,0.9725658602982855
S0_standby,待机/轻后台,7010061,25.358778610941638,25.440367204349656,-0.3207052506461788,cutoff,0.9681014925306338
S0_standby,待机/轻后台,7010062,25.466666666666665,25.440367204349656,0.10337689745497414,cutoff,0.9708946613756569
S0_standby,待机/轻后台,7010063,25.42884878110858,25.440367204349656,-0.0452761673939416,cutoff,0.9726403875349373
S0_standby,待机/轻后台,7010064,25.431801150005583,25.440367204349656,-0.03367111125112946,cutoff,0.9731419243504098
S0_standby,待机/轻后台,7010065,25.44453216583763,25.440367204349656,0.016371467654212834,cutoff,0.9747787998886568
