scenario_code,scenario_id,scenario_label_zh,dt_s,soc0,replicates,eps,param_id,param_symbol,tte_base_h,tte_minus_h,tte_plus_h,delta_minus_pct,delta_plus_pct,score_absmax_pct,soh0,alpha_r0,eta0,hA0
S1,S0_standby,待机/轻度,10.0,1.0,30,0.05,eta_pmic,η0,21.25634196277287,20.185623141754938,22.326328871749734,-5.037173484003624,5.033730219671752,5.037173484003624,0.9,1.5,0.93,0.4
S1,S0_standby,待机/轻度,10.0,1.0,30,0.05,soh,SOH,21.25634196277287,20.182107370099683,22.328965189222107,-5.053713355546022,5.046132718074299,5.053713355546022,0.9,1.5,0.93,0.4
S1,S0_standby,待机/轻度,10.0,1.0,30,0.05,alpha_r,α_R,21.25634196277287,21.25719949527751,21.255484418461776,0.004034243079758341,-0.0040342986229424515,0.0040342986229424515,0.9,1.5,0.93,0.4
S1,S0_standby,待机/轻度,10.0,1.0,30,0.05,hA,hA,21.25634196277287,21.261937775148123,21.253469783155595,0.02632537802155621,-0.013512106750559897,0.02632537802155621,0.9,1.5,0.93,0.4
S1,S0_standby,待机/轻度,10.0,1.0,30,0.05,screen_scale,k_b,21.25634196277287,21.266581018808726,21.248498554923312,0.04816941717342178,-0.03689914221032323,0.04816941717342178,0.9,1.5,0.93,0.4
S1,S0_standby,待机/轻度,10.0,1.0,30,0.05,cpu_scale,k_cpu,21.25634196277287,21.359770315462296,21.150848112663223,0.4865764432589837,-0.4962935310995734,0.4962935310995734,0.9,1.5,0.93,0.4
S1,S0_standby,待机/轻度,10.0,1.0,30,0.05,gpu_scale,k_gpu,21.25634196277287,21.25634196277287,21.25634196277287,0.0,0.0,0.0,0.9,1.5,0.93,0.4
S1,S0_standby,待机/轻度,10.0,1.0,30,0.05,rrc_data_scale,"b_{q,m}",21.25634196277287,21.25647116063305,21.256212764552576,0.000607808532667558,-0.0006078102267980182,0.0006078102267980182,0.9,1.5,0.93,0.4
S1,S0_standby,待机/轻度,10.0,1.0,30,0.05,rrc_tail_scale,τ_m,21.25634196277287,21.25634196277287,21.25634196277287,0.0,0.0,0.0,0.9,1.5,0.93,0.4
S2,S1b_browse,浏览/社交,10.0,1.0,30,0.05,eta_pmic,η0,6.4851043338568335,6.153263961275824,6.815628932286415,-5.116962742581761,5.096673567825419,5.116962742581761,0.9,1.5,0.93,0.4
S2,S1b_browse,浏览/社交,10.0,1.0,30,0.05,soh,SOH,6.4851043338568335,6.153059344483304,6.817486061750464,-5.120117923778338,5.1253104157224225,5.1253104157224225,0.9,1.5,0.93,0.4
S2,S1b_browse,浏览/社交,10.0,1.0,30,0.05,alpha_r,α_R,6.4851043338568335,6.485425425813645,6.4838234559474754,0.004951222683267982,-0.01975107636543267,0.01975107636543267,0.9,1.5,0.93,0.4
S2,S1b_browse,浏览/社交,10.0,1.0,30,0.05,hA,hA,6.4851043338568335,6.4853218178419665,6.48412481485481,0.003353592693915088,-0.015104136365391393,0.015104136365391393,0.9,1.5,0.93,0.4
S2,S1b_browse,浏览/社交,10.0,1.0,30,0.05,screen_scale,k_b,6.4851043338568335,6.545920504141728,6.421980772662406,0.9377824496576126,-0.9733623076020258,0.9733623076020258,0.9,1.5,0.93,0.4
S2,S1b_browse,浏览/社交,10.0,1.0,30,0.05,cpu_scale,k_cpu,6.4851043338568335,6.5927245217922374,6.380429732923447,1.6594981729677105,-1.614077361668821,1.6594981729677105,0.9,1.5,0.93,0.4
S2,S1b_browse,浏览/社交,10.0,1.0,30,0.05,gpu_scale,k_gpu,6.4851043338568335,6.497169505262938,6.4765593033751205,0.18604436852488956,-0.13176396310390645,0.18604436852488956,0.9,1.5,0.93,0.4
S2,S1b_browse,浏览/社交,10.0,1.0,30,0.05,rrc_data_scale,"b_{q,m}",6.4851043338568335,6.499894401308642,6.471216810891368,0.22806213578698498,-0.21414494278777352,0.22806213578698498,0.9,1.5,0.93,0.4
S2,S1b_browse,浏览/社交,10.0,1.0,30,0.05,rrc_tail_scale,τ_m,6.4851043338568335,6.4851043338568335,6.4851043338568335,0.0,0.0,0.0,0.9,1.5,0.93,0.4
S3,S1_video,视频/直播,10.0,1.0,30,0.05,eta_pmic,η0,4.1895654627732695,3.973204580242042,4.405983063254576,-5.164279791155433,5.165633581914468,5.165633581914468,0.9,1.5,0.93,0.4
S3,S1_video,视频/直播,10.0,1.0,30,0.05,soh,SOH,4.1895654627732695,3.972898657859077,4.406943196160648,-5.171581798623353,5.188550825113157,5.188550825113157,0.9,1.5,0.93,0.4
S3,S1_video,视频/直播,10.0,1.0,30,0.05,alpha_r,α_R,4.1895654627732695,4.1904053548820945,4.188725608412947,0.020047236790736406,-0.020046335778368285,0.020047236790736406,0.9,1.5,0.93,0.4
S3,S1_video,视频/直播,10.0,1.0,30,0.05,hA,hA,4.1895654627732695,4.190506879090822,4.188711495545255,0.022470500244428433,-0.020383193331201938,0.022470500244428433,0.9,1.5,0.93,0.4
S3,S1_video,视频/直播,10.0,1.0,30,0.05,screen_scale,k_b,4.1895654627732695,4.214398750458799,4.164855565217349,0.5927413691512391,-0.5897961918839228,0.5927413691512391,0.9,1.5,0.93,0.4
S3,S1_video,视频/直播,10.0,1.0,30,0.05,cpu_scale,k_cpu,4.1895654627732695,4.222369322094078,4.157234617420381,0.7829895394233616,-0.7716992523488774,0.7829895394233616,0.9,1.5,0.93,0.4
S3,S1_video,视频/直播,10.0,1.0,30,0.05,gpu_scale,k_gpu,4.1895654627732695,4.193447702090317,4.185689909112414,0.09266448636604097,-0.09250490761612945,0.09266448636604097,0.9,1.5,0.93,0.4
