phone_test_id,duration_s_est,throughput_MBps,radio_mode,obs_radio_w,wlan_w,cell_w
-1,29.745867781024316,0.2085819464294797,wifi,0.15032659501320036,0.14220000687256423,0.008126588140636132
1,29.852907032019957,0.054893782982082896,wifi,0.20818722560058048,0.19987943760552568,0.00830778799505478
10,30.933543941235566,0.1405850557653983,wifi,0.23333737863053966,0.2265525694800063,0.0067848091505333845
100,29.97951177805678,0.04704663005994496,wifi,0.20462300298370933,0.1990640681181201,0.0055589348655892155
101,30.017845167330858,0.04956734874558294,wifi,0.20178155567268394,0.1960291165385549,0.0057524391341290705
102,29.947601105176865,0.06003469171656652,wifi,0.21163745799707573,0.2044570473610049,0.007180410636070854
103,33.917142020501196,0.08504605129336824,wifi,0.2036255709990315,0.19841824818595769,0.005207322813073815
104,30.51226387492342,0.03599582136881859,wifi,0.20088027460116445,0.19591598415661454,0.004964290444549913
105,32.36959591439104,0.2046283499342414,wifi,0.2268501170456889,0.22080444955975803,0.00604566748593086
106,30.889354012552356,0.10362670578022579,wifi,0.2246433555414465,0.21789990675866397,0.006743448782782547
107,30.040303270276898,0.03921252023995103,wifi,0.19096420516623597,0.1858504501752044,0.005113754991031577
108,34.38134371701694,0.03423365327683362,wifi,0.19784887080070107,0.19190095822558909,0.005947912575111985
109,31.606295055027587,0.04473918874509367,wifi,0.20112389462557967,0.19593537413652118,0.005188520489058484
11,25.026378682342806,0.046973635895209344,wifi,0.21171810332243396,0.2033148586041612,0.008403244718272774
110,29.615550125807825,0.08428899646961763,wifi,0.19848418266432027,0.19384224507603653,0.004641937588283721
111,29.787412331141358,0.06565212775986934,wifi,0.2083954677413162,0.20268711805955805,0.005708349681758136
112,29.52026868161812,0.055649662871223984,wifi,0.19572582641878072,0.19048857919812548,0.005237247220655239
113,34.569896955570734,0.07450039562773351,wifi,0.20663673264192142,0.1991544954075692,0.007482237234352256
114,30.033916719063477,0.06462640281505462,wifi,0.19663471533616858,0.18971636303391565,0.006918352302252919
115,32.459781850205935,0.09138268438428156,wifi,0.20537235125071387,0.19968504559680184,0.00568730565391205
116,31.996230617763885,0.02956445124116653,wifi,0.19599245224041198,0.19056273138113905,0.005429720859272923
117,30.212397018662987,0.04414244256012425,wifi,0.19572792371082534,0.1907064302742748,0.005021493436550548
118,29.920500378858442,0.07186437301427367,wifi,0.20518505586578545,0.1988825596745103,0.006302496191275168
119,29.991420427251054,0.03413496211302437,wifi,0.19275651474524147,0.1874111284265647,0.005345386318676751
12,34.30156352442275,0.04333869501142565,wifi,0.21024861508164788,0.20317058228594898,0.007078032795698925
120,29.960580656249647,0.026353928485538122,wifi,0.1958779627197937,0.18868279696175136,0.007195165758042365
121,32.067439760530185,0.05124097877069912,wifi,0.20331251304282283,0.1970653039463025,0.006247209096520329
122,29.958781260423425,0.02893779264463133,wifi,0.19452326130240563,0.18898080595825115,0.0055424553441545095
123,30.058415680624176,0.031471851678789346,wifi,0.19468283586675417,0.189638888,0.005043947866754184
124,33.96666162671088,0.02554702047367577,wifi,0.1933797293202909,0.18681000481634458,0.006569724503946301
125,25.892978050216044,0.2330475462612788,wifi,0.23591123086910432,0.2300048479865772,0.005906382882527147
126,29.18142121213053,0.13066471205367364,wifi,0.20476555235313024,0.20042791741165675,0.004337634941473491
127,30.39982734492579,0.03874492399696474,wifi,0.1991162269021014,0.19306768226094548,0.006048544641155922
128,30.016664414539257,0.20632618982808,wifi,0.23106266914699986,0.2257432000803439,0.005319469066655953
129,30.55378660219417,0.028393305592364786,wifi,0.06701406566101192,0.06119231926414717,0.005821746396864752
13,29.64643249142625,0.07108194217329315,wifi,0.2065153600937317,0.19980013609852046,0.00671522399521122
130,34.185652149341536,0.06024167656663139,wifi,0.19619295719690008,0.19134803556763502,0.0048449216292650674
131,35.350563079539526,0.042145721884196,wifi,0.1942727053884073,0.1891763663779275,0.005096339010479789
132,34.152147649081186,0.1959771335253075,wifi,0.2188008226090988,0.21443717842768206,0.00436364418141673
133,32.52683860008791,0.03378822066024669,wifi,0.19855303514501027,0.19346411786557052,0.005088917279439751
134,30.51058337837471,0.06404449812601685,wifi,0.20885218257698862,0.20264409681740714,0.0062080857595814675
135,34.688034258941,0.025038028777203913,wifi,0.19050494096989778,0.1852426205157593,0.005262320454138462
136,29.838169151836738,0.04468146129260521,wifi,0.19373063540587548,0.18793754878307775,0.005793086622797708
137,29.631722392122892,0.10257942349001047,wifi,0.20613888810405714,0.19972604296666374,0.006412845137393402
138,29.95824687170356,0.03671279580244201,wifi,0.19222097735469484,0.18626737667754056,0.0059536006771543
139,24.145065536381797,0.042256832911164416,wifi,0.1896063691353848,0.18407597771533435,0.005530391420050471
14,34.060441880832734,0.0322775906386192,wifi,0.20300150980301376,0.19643861082705646,0.006562898975957258
140,34.02068153400589,0.17374146352981693,wifi,0.21988051588993712,0.2154459370034638,0.004434578886473341
141,34.15966223507209,0.16396848310312864,wifi,0.21872755424750148,0.21282621077307468,0.005901343474426808
142,32.9785636706222,0.04279431372741084,wifi,0.1945553633226145,0.1898418594602789,0.004713503862335594
143,32.87889978785965,0.1278540044564445,wifi,0.20800405693073185,0.20251701338332198,0.005487043547409876
144,33.90289432177953,0.07364152972615445,wifi,0.20779657297634285,0.20172237994603984,0.00607419303030303
145,34.2408728264545,0.032129175140361454,wifi,0.19170005056109954,0.18690519353730306,0.004794857023796469
146,34.496519104589105,0.06111048461465081,wifi,0.19623780525876763,0.19059249714575852,0.005645308113009103
147,31.268691868157937,0.04265918784272381,wifi,0.19822865889717553,0.19318270411229732,0.005045954784878203
148,25.05940160739237,0.23605176582728207,wifi,0.22120326807811563,0.2149982688482515,0.006204999229864157
149,32.40817325987345,0.07944110207494161,wifi,0.2006181040117176,0.1953570462060033,0.005261057805714286
15,29.47424550378123,0.03724611033246513,wifi,0.20329998392888404,0.19608036628707398,0.00721961764181007
