phone,test,role,proto,link,mean_power_w,baseline_power_w,delta_power_w,throughput_MBps,energy_per_mb_j,duration_s,tte_equiv_h
Mini,smartphoneServerBluetooth,server,other,other,1.6094588628762536,1.3207612040133785,0.2886976588628751,,,59.8,9.19563732964943
Note 3,smartphoneBaseline,baseline,none,none,1.887714046822743,1.887714046822743,0.0,,,59.8,7.840170509357727
Note 3,smartphoneClient3g,client,other,other,4.990502564102565,1.887714046822743,3.102788517279822,,,7.6,2.965633182208667
Note 3,smartphoneClientBluetooth,client,other,other,2.3774960132890364,1.887714046822743,0.4897819664662934,,,60.0,6.225036726570838
Note 3,smartphoneServer3g,server,other,other,5.869088888888888,1.887714046822743,3.9813748420661454,,,7.0,2.5216861220178037
Note 3,smartphoneServerBluetooth,server,other,other,2.447038931297709,1.887714046822743,0.5593248844749663,,,104.8,6.04812608851764
Note 4,smartphoneBaseline,baseline,none,none,1.3903802675585288,1.3903802675585288,0.0,,,59.8,10.64456993912062
Note 4,smartphoneClient3g,client,other,other,7.63134054054054,1.3903802675585288,6.2409602729820115,,,7.2,1.9393709298355717
Note 4,smartphoneClientBluetooth,client,other,other,1.7259897009966785,1.3903802675585288,0.3356094334381494,,,60.0,8.574790447158342
Note 4,smartphoneServer3g,server,other,other,8.889182352941175,1.3903802675585288,7.498802085382646,,,6.6,1.6649450323294477
Note 4,smartphoneServerBluetooth,server,other,other,1.8802073333333336,1.3903802675585288,0.4898270657748047,,,60.0,7.871472330533759
