power_bin,battery_state_label,tte_mean_h_mean,q1_power_w,q2_power_w
low,new,5.456719293323037,1.9741897967677202,2.549990956332836
low,slight,5.191225864969657,1.9741897967677202,2.549990956332836
low,moderate,4.92678059661843,1.9741897967677202,2.549990956332836
low,aged,4.6718961885492485,1.9741897967677202,2.549990956332836
low,old,4.422490216603184,1.9741897967677202,2.549990956332836
low,eol,3.5560538506758674,1.9741897967677202,2.549990956332836
mid,new,3.881099237617971,1.9741897967677202,2.549990956332836
mid,slight,3.691840704393863,1.9741897967677202,2.549990956332836
mid,moderate,3.5036801924855,1.9741897967677202,2.549990956332836
mid,aged,3.3226722789335037,1.9741897967677202,2.549990956332836
mid,old,3.1452511298697416,1.9741897967677202,2.549990956332836
mid,eol,2.5286581768053256,1.9741897967677202,2.549990956332836
high,new,2.9565051589844953,1.9741897967677202,2.549990956332836
high,slight,2.8121313390194813,1.9741897967677202,2.549990956332836
high,moderate,2.668205813277203,1.9741897967677202,2.549990956332836
high,aged,2.532955839347512,1.9741897967677202,2.549990956332836
high,old,2.3977418301247866,1.9741897967677202,2.549990956332836
high,eol,1.9267087765608646,1.9741897967677202,2.549990956332836
