component,q025,q50,q975,n_boot,boot_seed,n_phone_tests,n_states
usage,0.8473810530936908,0.914356859647107,0.9439838393521284,2000,0,24,6
aging,0.03959985422660074,0.06975281496001856,0.13772854704017864,2000,0,24,6
interaction,0.014683738395448637,0.015867342986775876,0.016391126518335273,2000,0,24,6
seed,1.670832182111971e-05,3.748370445662202e-05,0.00010975591779825066,2000,0,24,6
