cell,frac_usage_phone,frac_aging_state,frac_interaction,frac_seed_within
Cell01,0.9199367690239102,0.0640597672510622,0.0159653198353703,3.8143889657157145e-05
Cell02,0.9262110218047288,0.0583672315583734,0.0154209843688657,7.62268031850556e-07
Cell03,0.9189705030301596,0.0641210541533155,0.016907676815321,7.660012038317397e-07
