phone_test_id,obs_total_w,delta_margin_eol_minus_new,delta_tte_pct_eol_minus_new
39,1.8545729900294563,-0.024851714258626312,-34.849917245985395
58,2.5032109275368475,-0.030123831124471034,-34.827236142688385
82,1.611065446241969,-0.022628969148624556,-34.58702220223277
297,2.2356285285276205,-0.023454879536555784,-34.57065249237974
339,3.154962231296654,-0.04161628923340477,-34.66368159305263
340,2.954406991714576,-0.045876637390671826,-33.58226202187727
401,1.9334875614170888,-0.024036123476650406,-34.75669886365419
454,4.212984227707169,-0.048376065712308014,-34.81983155420201
465,2.831040266336073,-0.028933091819723256,-34.462805607654026
471,2.0802399150411555,-0.03128483446619823,-34.46222927970766
480,1.6738149651574723,-0.023715400718128055,-34.3879229840757
501,0.8665902102946526,-0.019886154505027176,-35.03946642206641
515,1.994540914443036,-0.02710252833326443,-34.95734030213653
554,1.7358478122570693,-0.023210573349141228,-34.653768092941945
567,2.762818690479717,-0.0530083461724411,-34.57645245335068
573,2.3000368734183043,-0.029838500948384583,-34.65368296995198
600,7.44759757019374,-0.05974765733913123,-35.45231244801542
725,2.4024143665207034,-0.026088119363718243,-34.45502200950326
736,3.404457093395747,-0.036629213773615166,-35.46510155611095
752,1.7987817147733527,-0.02642134128818041,-35.09677845882657
818,2.1315329761191384,-0.026630908132931452,-35.09958125073414
848,2.6435510139248137,-0.02185640422556323,-34.79670539692387
925,2.1796768140141145,-0.02726680544645277,-35.06074571723524
956,1.4332081010607258,-0.01937265177746894,-34.730235437447135
