scenario_id,n_eff,screen_int_median,cpu_int_median,gpu_int_median,wifi_int_median,infra_int_median,P_total_W_median
S1_standby_light,277.5713614374053,0.24129999999999996,0.2986,0.36960000000000004,0.352,0.27,1.7152077270407948
S2_browse_social,432.2711493088203,0.6385000000000001,0.4474,0.4492,0.46,0.388,2.159311353663248
S3_video_streaming,278.8507285019804,0.551,0.49879999999999997,0.48960000000000004,0.859,0.534,2.2991127687966153
S4_gaming,150.13343812114792,0.5246,0.9092,0.9146,0.639,0.927,3.6252424869051163
S5_nav_call,196.0216384911518,0.5213,0.7474,0.6643999999999999,0.232,0.805,2.9032479691476194
