test_id,duration_s,soc0,temp_c,brightness_nits,cpu_load,gpu_load,gps_on,obs_total_w,pred_total_w,obs_screen_w,obs_cpu_w,obs_gpu_w,obs_radio_w,obs_gps_w,obs_background_w,obs_base_w,pred_screen_w,pred_cpu_w,pred_gpu_w,pred_radio_w,pred_gps_w,pred_background_w,pred_base_w
600.0,30.469546167234277,1.0,31.48975,375.0,0.7540716040044494,0.9086488888888888,0.0,7.44759757019374,4.674751970633241,0.3176591001255,5.648624706486784,0.4130968605851439,0.1100747924621538,0.00053342807279,0.4942735427641385,0.9016591527806102,0.3350074893891198,2.85181781889382,0.4730227244490145,0.116804160249034,0.0,0.4102982302026346,0.1532719352833055
353.0,32.135476104541844,0.95,36.98625,260.0,0.7853357419354838,0.9615588888888889,0.0,6.99840267710284,4.925672255762811,0.4243789650909645,5.024643612506661,0.4477021659511304,0.2169719670015985,0.0005512694831392,0.4921558091268934,0.8327352015757022,0.2919638507507891,3.0926559132975777,0.5048341904442172,0.1327355438338707,0.0,0.4156812099867341,0.1532719352833055
233.0,24.641502814342264,0.92,36.5135,435.0,0.7333616921270547,0.69389,0.0,6.951172998276081,4.46179322507986,0.4377546743469666,5.119959895797621,0.2547353572883117,0.2083359075246333,0.0005125999584415,0.4618600220155844,0.8708753461222793,0.3916720772714074,2.699543358521212,0.346905122902843,0.119032588781203,0.0,0.4168385301535688,0.1532719352833056
154.0,29.48285662636964,1.0,41.95275,180.0,0.7480531902113459,0.9012788888888889,0.0,6.48577505305142,4.516839692335968,0.3359047806706347,4.659250298170856,0.4185775374373599,0.2053919356017211,0.0005742595233245,0.4972065239111835,0.8023509954536194,0.2449129312336557,2.806958598902825,0.4686132548475522,0.0896940396220426,0.0,0.4188593202802727,0.1532719352833055
804.0,29.22526974336862,1.0,42.20572727272727,165.0,0.9215586896551724,0.88149,0.0,6.027998596658768,5.944293561254417,0.168620876263823,4.4347016866587685,0.3898331824486571,0.2268979826540284,0.0005684915481832,0.4824883554423381,0.7362687707424961,0.1827677635441003,4.283979778964196,0.4568004137723511,0.1201422517678073,0.0,0.4128018057563346,0.1532719352833055
803.0,34.49971269216452,1.0,37.541599999999995,80.0,0.9430890425163762,0.9385588888888888,0.0,5.765260040706761,6.201260066028913,0.2080761465493847,4.24048031662346,0.4374485833457618,0.208522556355155,0.0005336871630979,0.3377940824757643,0.6120783051244717,0.1894217317648898,4.491944140017608,0.4909725894582378,0.1221906430434663,0.0,0.4189294142950889,0.1532719352833055
152.0,29.720354590402263,1.0,40.26528571428572,225.0,0.8425395234828821,0.9727533333333334,0.0,5.3122965447722486,5.341606885455201,0.3821417673796284,3.6036922758200047,0.4508190568113963,0.2121646200464129,0.0005577116011259,0.3389528676703915,0.6061786416378758,0.2516289226429542,3.565795370106425,0.5115989295821691,0.1113373163334529,0.0,0.4134447993405804,0.1532719352833055
505.0,29.212325926105425,0.9,42.389,175.0,0.8208439306019033,0.9520722222222222,0.0,5.289494694495226,5.15958565379494,0.2403702295917123,3.6778244564127567,0.4586301292545195,0.2314792459475929,0.0005771929555149,0.3484823896567134,0.6207674442494413,0.2159192700726325,3.3815445449774204,0.4991106865983323,0.1546861731876298,0.0,0.4205234315093035,0.1532719352833055
800.0,29.845677335601724,1.0,28.34275,50.0,0.881951916573971,0.4855611111111111,0.0,5.2199639582030954,5.111612376119865,0.2107098405008938,4.265019745115267,0.1343634515500146,0.1291701849588035,0.0004634837049742,0.2128520043090825,0.4211313239948119,0.1395759626743734,3.914966330259132,0.2300948886607319,0.1114304494054623,0.0,0.2277431976705434,0.1532719352833055
237.0,30.403521755117215,0.88,44.788599999999995,310.0,0.6847509766407119,0.8891255555555555,0.0,4.5167510891032485,3.949871700260725,0.2603828357713202,2.9195594779012537,0.4034941584394967,0.2193043835724653,0.0005710946144382,0.4450723637575902,0.647441184711859,0.2957794930192784,2.3660776050266263,0.4613537418398548,0.1185615719368355,0.0,0.4192072401144241,0.1532719352833055
157.0,29.708948266023864,0.98,43.48471428571428,355.0,0.7338412508960573,0.9250322222222224,0.0,4.483283144436474,4.651010665498126,0.6352142718764505,2.6979421511962527,0.3741012151820752,0.2248556851597113,0.0005562431410608,0.3051366410143888,0.4816219743195915,0.3679847159535185,2.7030022892772094,0.4828440460815649,0.1966893070096241,0.0,0.4126887597265909,0.1532719352833055
740.0,30.15931368911055,0.97,45.9773,445.0,0.7800492703003337,0.9079144444444444,0.0,4.388460140848228,4.925639341032922,0.3689528934727353,2.7352893831038743,0.4021359316948611,0.2188015074398606,0.0005841698771145,0.4179194077481647,0.5965280099684743,0.38913027217681,3.0510266413307088,0.4725830650504934,0.111015817326524,0.0,0.4140819976987632,0.1532719352833055
619.0,32.3307019319174,0.91,45.123,345.0,0.5709282246941045,0.8895244444444445,0.0,4.247425814916601,3.3326389092639337,0.4572707629298827,2.598498114889881,0.3708985659834344,0.2170561978243443,0.0005529262796289,0.4091818250696591,0.531830125646017,0.3222817944988213,1.7336923063182108,0.4615917738392102,0.1098616840706528,0.0,0.4163193022133339,0.1532719352833055
1.0,29.852907032019957,1.0,39.22916666666666,500.0,0.593107329810901,0.92086,0.0,4.226042872966518,3.5826167347353617,0.5543900827312306,2.446225965110628,0.4004834266308518,0.2081872256005804,0.0005573555214462,0.3209639787243113,0.5571599330093362,0.4512352833354142,1.8387131841285496,0.4803404274949799,0.1024717529573997,0.0,0.4209640384953124,0.1532719352833055
738.0,34.299255029263676,0.99,45.184125,285.0,0.5726585005561735,0.8996411111111111,0.0,4.223180383259468,3.364540877071817,0.3057686170792347,2.6363404628977047,0.3899776579324758,0.2410933538500341,0.0005720857925269,0.4198074457031672,0.5819420060461932,0.2862449385703004,1.7415323379898315,0.4676341054502412,0.1651759250607647,0.0,0.4150615216769719,0.1532719352833055
