scenario_id,scenario_title_zh,soc0,n,mean_h,p05_h,p50_h,p95_h
S0_standby,待机/轻后台,0.25,80,11.598314414917194,8.11486111111111,11.72272864840382,15.03264843408066
S0_standby,待机/轻后台,0.5,80,27.77434095495945,21.544364415735277,27.457197511809,34.77147183898255
S0_standby,待机/轻后台,0.75,80,44.49145189798867,34.83638888888889,43.574305555555554,55.05771597615134
S0_standby,待机/轻后台,1.0,80,61.86612553611498,48.64993055555556,60.83611111111111,76.26570323372965
S1_video,视频播放/视频流,0.25,80,1.8447702622758713,1.3054861111111111,1.849797738119048,2.4086466112213905
S1_video,视频播放/视频流,0.5,80,4.472426047430725,3.540138888888889,4.4581976398542995,5.673135749486161
S1_video,视频播放/视频流,0.75,80,7.189637009821863,5.818888888888889,7.077810077784009,8.97924639531958
S1_video,视频播放/视频流,1.0,80,10.018050550730974,8.157485628059396,9.901661899480684,12.423968274976632
S1b_browse,浏览/社交媒体,0.25,80,1.9322883787157024,1.3370138888888887,1.9430555555555555,2.566286233089605
S1b_browse,浏览/社交媒体,0.5,80,4.697754467456766,3.620763888888889,4.715972222222222,6.00722038529521
S1b_browse,浏览/社交媒体,0.75,80,7.551992102044721,5.986666666666666,7.518055555555556,9.60588463771973
S1b_browse,浏览/社交媒体,1.0,80,10.52405378875898,8.431898755135768,10.459722222222222,13.370763888888888
S2_navigation,导航（GPS + 地图数据）,0.25,80,1.3641968592028824,0.9558333333333334,1.3319444444444444,1.7904059628424935
S2_navigation,导航（GPS + 地图数据）,0.5,80,3.331600883849521,2.5589583333333334,3.290972222222222,4.219930555555555
S2_navigation,导航（GPS + 地图数据）,0.75,80,5.370034526044858,4.199861111111112,5.294713379366042,6.739166666666667
S2_navigation,导航（GPS + 地图数据）,1.0,80,7.48618664336779,5.928611111111111,7.393055555555556,9.344513888888889
S3_gaming,游戏（高 CPU/GPU 负载）,0.25,80,0.6035617608929404,0.4088194444444444,0.60685234334668,0.8782237763016256
S3_gaming,游戏（高 CPU/GPU 负载）,0.5,80,1.5058844877220865,1.0605555555555557,1.5341791298374066,2.0482605137598355
S3_gaming,游戏（高 CPU/GPU 负载）,0.75,80,2.4388422199756414,1.748443023427203,2.4894986424306587,3.2470290888880253
S3_gaming,游戏（高 CPU/GPU 负载）,1.0,80,3.411764167712692,2.443488596686893,3.4584416009181163,4.511152956369406
S4_mixed_day,混合使用（标准一天）,0.25,80,2.4034541602837605,1.7745833333333332,2.362777280612998,2.9846609917083873
S4_mixed_day,混合使用（标准一天）,0.5,80,15.463690181675648,9.867916666666666,15.372222222222224,22.39548611111111
S4_mixed_day,混合使用（标准一天）,0.75,80,25.96187075711702,23.7124934054737,25.688202374302968,29.99756944444444
S4_mixed_day,混合使用（标准一天）,1.0,80,37.139022308605334,26.78276671708641,36.796924372280074,48.95200322892723
S5_burst_recovery,高负载→休止：恢复效应演示,0.25,80,1.7129825172671318,1.040277777777778,1.4887248702598728,2.6666952893423765
S5_burst_recovery,高负载→休止：恢复效应演示,0.5,80,4.461867450931072,3.3364634169844756,4.68431073631504,6.068887996135071
S5_burst_recovery,高负载→休止：恢复效应演示,0.75,80,7.375332178240494,5.359195822491275,7.430472475970454,10.012365378396144
S5_burst_recovery,高负载→休止：恢复效应演示,1.0,80,10.432184214763964,7.420404871567931,10.430877802621582,14.005770807711322
