battery_state_label,alpha,n_traces,delta_tte_pct_median,delta_tte_pct_p25,delta_tte_pct_p75
new,0.0,51,0.0,0.0,0.0
new,0.2,51,-0.05836223853439075,-0.14035474988174723,-0.0035935406596122686
new,0.4,51,-0.20337604230222692,-0.47903154979905954,-0.0051297970988631245
new,0.6,51,-0.3362441812911798,-0.6100346838603548,-0.010714666132386978
new,0.8,51,-0.3777986997163929,-1.0019226985027925,-0.017341021411806705
new,1.0,51,-0.7140973337007316,-1.161877490405835,-0.05114269788183631
eol,0.0,51,0.0,0.0,0.0
eol,0.2,51,0.0,0.0,0.0
eol,0.4,51,-0.009417969485780338,-0.015109134838051146,0.0
eol,0.6,51,-0.017993702204231334,-0.03189754156897469,-0.009801423754216594
eol,0.8,51,-0.031612223393050254,-0.07218825330808566,-0.01536430229340288
eol,1.0,51,-0.05097489486428731,-0.14835432502932316,-0.024850808725979025
