trace,duration_s,dt_s,alpha,mean_W,cv0,cv_alpha,battery_state_id,battery_state_label,SOH,cap_loss0_frac,r0_growth0_frac,tte_alpha_h,status_alpha,min_margin_alpha,tte_alpha0_h,status_alpha0,min_margin_alpha0,delta_tte_h,delta_tte_pct
Mega__smartphoneBaseline_dt1s,59.0,1.0,0.0,1.4023203389830508,0.0962693584111163,0.0,D3_Cell01_new,new,1.0,0.0,0.0,10.489444444444445,soc_min,0.9628361645361648,10.489444444444445,soc_min,0.9628361645361648,0.0,0.0
Mega__smartphoneBaseline_dt1s,59.0,1.0,0.2,1.4023203389830508,0.0962693584111163,0.019253871682223242,D3_Cell01_new,new,1.0,0.0,0.0,10.489444444444445,soc_min,0.9581158093382974,10.489444444444445,soc_min,0.9628361645361648,0.0,0.0
Mega__smartphoneBaseline_dt1s,59.0,1.0,0.4,1.4023203389830508,0.0962693584111163,0.03850774336444652,D3_Cell01_new,new,1.0,0.0,0.0,10.489166666666666,soc_min,0.9533350790599147,10.489444444444445,soc_min,0.9628361645361648,-0.0002777777777787094,-0.0026481648217873887
Mega__smartphoneBaseline_dt1s,59.0,1.0,0.6,1.4023203389830508,0.0962693584111163,0.05776161504666976,D3_Cell01_new,new,1.0,0.0,0.0,10.489166666666666,soc_min,0.948553926350552,10.489444444444445,soc_min,0.9628361645361648,-0.0002777777777787094,-0.0026481648217873887
Mega__smartphoneBaseline_dt1s,59.0,1.0,0.8,1.4023203389830508,0.0962693584111163,0.07701548672889301,D3_Cell01_new,new,1.0,0.0,0.0,10.488888888888889,soc_min,0.9437722463953987,10.489444444444445,soc_min,0.9628361645361648,-0.0005555555555556424,-0.005296329643557843
Mega__smartphoneBaseline_dt1s,59.0,1.0,1.0,1.4023203389830508,0.0962693584111163,0.0962693584111163,D3_Cell01_new,new,1.0,0.0,0.0,10.488611111111112,soc_min,0.9389899336697665,10.489444444444445,soc_min,0.9628361645361648,-0.0008333333333325754,-0.007944494465328297
Mega__smartphoneBaseline_dt1s,59.0,1.0,0.0,1.4023203389830508,0.0962693584111163,0.0,D3_Cell01_eol,eol,0.6331208915526815,0.3668791084473185,0.5794771793860334,6.794722222222222,soc_min,0.9458444238289263,6.794722222222222,soc_min,0.9458444238289263,0.0,0.0
Mega__smartphoneBaseline_dt1s,59.0,1.0,0.2,1.4023203389830508,0.0962693584111163,0.019253871682223242,D3_Cell01_eol,eol,0.6331208915526815,0.3668791084473185,0.5794771793860334,6.794722222222222,soc_min,0.9389398599167291,6.794722222222222,soc_min,0.9458444238289263,0.0,0.0
Mega__smartphoneBaseline_dt1s,59.0,1.0,0.4,1.4023203389830508,0.0962693584111163,0.03850774336444652,D3_Cell01_eol,eol,0.6331208915526815,0.3668791084473185,0.5794771793860334,6.794444444444444,soc_min,0.9319700226712785,6.794722222222222,soc_min,0.9458444238289263,-0.0002777777777778212,-0.004088140304975906
Mega__smartphoneBaseline_dt1s,59.0,1.0,0.6,1.4023203389830508,0.0962693584111163,0.05776161504666976,D3_Cell01_eol,eol,0.6331208915526815,0.3668791084473185,0.5794771793860334,6.794444444444444,soc_min,0.9249991533854707,6.794722222222222,soc_min,0.9458444238289263,-0.0002777777777778212,-0.004088140304975906
Mega__smartphoneBaseline_dt1s,59.0,1.0,0.8,1.4023203389830508,0.0962693584111163,0.07701548672889301,D3_Cell01_eol,eol,0.6331208915526815,0.3668791084473185,0.5794771793860334,6.7941666666666665,soc_min,0.9180269978784591,6.794722222222222,soc_min,0.9458444238289263,-0.0005555555555556424,-0.008176280609951812
Mega__smartphoneBaseline_dt1s,59.0,1.0,1.0,1.4023203389830508,0.0962693584111163,0.0962693584111163,D3_Cell01_eol,eol,0.6331208915526815,0.3668791084473185,0.5794771793860334,6.793888888888889,soc_min,0.911053299307643,6.794722222222222,soc_min,0.9458444238289263,-0.0008333333333334636,-0.012264420914927718
Mega__smartphoneClient3g_dt1s,7.0,1.0,0.0,4.900414285714286,0.11314459853539523,0.0,D3_Cell01_new,new,1.0,0.0,0.0,2.9035482810338133,cutoff,0.8887381500215844,2.9035482810338133,cutoff,0.8887381500215844,0.0,0.0
Mega__smartphoneClient3g_dt1s,7.0,1.0,0.2,4.900414285714286,0.11314459853539523,0.022628919707079025,D3_Cell01_new,new,1.0,0.0,0.0,2.899722222222222,cutoff,0.8853358816371493,2.9035482810338133,cutoff,0.8887381500215844,-0.0038260588115912597,-0.1317718336761731
Mega__smartphoneClient3g_dt1s,7.0,1.0,0.4,4.900414285714286,0.11314459853539523,0.04525783941415811,D3_Cell01_new,new,1.0,0.0,0.0,2.894365834180649,cutoff,0.8820462560739285,2.9035482810338133,cutoff,0.8887381500215844,-0.009182446853164272,-0.3162491532565405
Mega__smartphoneClient3g_dt1s,7.0,1.0,0.6,4.900414285714286,0.11314459853539523,0.06788675912123711,D3_Cell01_new,new,1.0,0.0,0.0,2.89,cutoff,0.8786741932803429,2.9035482810338133,cutoff,0.8887381500215844,-0.013548281033813225,-0.4666111847463179
Mega__smartphoneClient3g_dt1s,7.0,1.0,0.8,4.900414285714286,0.11314459853539523,0.09051567882831621,D3_Cell01_new,new,1.0,0.0,0.0,2.8846553038301006,cutoff,0.875394488636626,2.9035482810338133,cutoff,0.8887381500215844,-0.018892977203712746,-0.650685829029365
Mega__smartphoneClient3g_dt1s,7.0,1.0,1.0,4.900414285714286,0.11314459853539523,0.11314459853539523,D3_Cell01_new,new,1.0,0.0,0.0,2.8802777777777777,cutoff,0.8720244942022419,2.9035482810338133,cutoff,0.8887381500215844,-0.023270503256035635,-0.8014505358164781
