sample_idx,scenario_id,scenario_title_zh,soc0,tte_h,status,soc_end,temp_peak_C
60,S0_standby,待机/轻后台,1.0,61.275,cutoff,0.0520172402125158,25.0
61,S0_standby,待机/轻后台,1.0,49.76111111111111,cutoff,0.0665920513968706,25.0
62,S0_standby,待机/轻后台,1.0,71.85,soc_min,0.0499981487939954,25.0
63,S0_standby,待机/轻后台,1.0,48.575,soc_min,0.0999831544899247,25.0
64,S0_standby,待机/轻后台,1.0,60.66388888888889,soc_min,0.0499673531257487,25.0
65,S0_standby,待机/轻后台,1.0,57.266666666666666,soc_min,0.0999624966177688,25.0
66,S0_standby,待机/轻后台,1.0,74.43333333333334,soc_min,0.0999871747731748,25.0
67,S0_standby,待机/轻后台,1.0,59.692218535831245,cutoff,0.0591787009652626,25.0
68,S0_standby,待机/轻后台,1.0,62.584850667429286,cutoff,0.0571466289113347,25.0
69,S0_standby,待机/轻后台,1.0,62.547222222222224,cutoff,0.0657893689239521,25.0
70,S0_standby,待机/轻后台,1.0,57.88225641577204,cutoff,0.0460831656360698,25.0
71,S0_standby,待机/轻后台,1.0,58.00978068161818,cutoff,0.0370611109331059,25.0
72,S0_standby,待机/轻后台,1.0,71.225,soc_min,0.0999909085060324,25.0
73,S0_standby,待机/轻后台,1.0,68.70277777777778,cutoff,0.0633144145858597,25.0
74,S0_standby,待机/轻后台,1.0,57.852777777777774,soc_min,0.0999988555720207,25.0
75,S0_standby,待机/轻后台,1.0,58.40277777777778,soc_min,0.0999684088886785,25.0
76,S0_standby,待机/轻后台,1.0,62.601824583690046,cutoff,0.0609738686778716,25.0
77,S0_standby,待机/轻后台,1.0,47.68813170832449,cutoff,0.0620648602331575,25.0
78,S0_standby,待机/轻后台,1.0,78.90277777777777,soc_min,0.0499854785610479,25.0
79,S0_standby,待机/轻后台,1.0,51.016666666666666,soc_min,0.0999887879296732,25.0
0,S1_video,视频播放/视频流,1.0,10.959305590209564,cutoff,0.0442402220198942,25.999646150311182
1,S1_video,视频播放/视频流,1.0,8.568388786295051,cutoff,0.0719485299822246,26.61720840940164
2,S1_video,视频播放/视频流,1.0,8.969943223112695,cutoff,0.0495770507689011,26.73447802010925
3,S1_video,视频播放/视频流,1.0,8.644361426101314,cutoff,0.0495438322489385,27.15682303672427
4,S1_video,视频播放/视频流,1.0,11.298426303775084,cutoff,0.0621758797120782,26.1900205904476
5,S1_video,视频播放/视频流,1.0,9.701471418840834,cutoff,0.0659997467143136,26.476373419293395
6,S1_video,视频播放/视频流,1.0,10.447862686357963,cutoff,0.0501191806414728,26.220827588185006
7,S1_video,视频播放/视频流,1.0,8.936111111111112,soc_min,0.0999045061276068,26.39407417969448
8,S1_video,视频播放/视频流,1.0,9.799995003862154,cutoff,0.0551072831331321,26.32847647888591
9,S1_video,视频播放/视频流,1.0,10.0,soc_min,0.0998585034110833,26.25872260852334
10,S1_video,视频播放/视频流,1.0,9.119444444444444,soc_min,0.0997793071982021,26.553518525033137
11,S1_video,视频播放/视频流,1.0,10.44585036832646,cutoff,0.0544268928428318,26.045868526948293
12,S1_video,视频播放/视频流,1.0,8.900029064360423,cutoff,0.0512024741856927,26.977200130616453
13,S1_video,视频播放/视频流,1.0,10.35831749362179,cutoff,0.0433078103955719,26.186257698020484
14,S1_video,视频播放/视频流,1.0,11.435465917002473,cutoff,0.0708703837337031,25.959006597939172
15,S1_video,视频播放/视频流,1.0,10.28888888888889,soc_min,0.0998421301629927,26.04482119552787
16,S1_video,视频播放/视频流,1.0,12.417872036087145,cutoff,0.0567651396374364,26.013215612867867
17,S1_video,视频播放/视频流,1.0,9.75,soc_min,0.0997760292459627,26.245724086363747
18,S1_video,视频播放/视频流,1.0,12.800830571284948,cutoff,0.0615695889579923,25.658653072687542
19,S1_video,视频播放/视频流,1.0,10.083065680293522,cutoff,0.0706824421475874,26.184463997739964
20,S1_video,视频播放/视频流,1.0,11.869444444444444,soc_min,0.099957095770357,25.82944442211987
21,S1_video,视频播放/视频流,1.0,8.125618652219817,cutoff,0.0735105795754901,26.926522608332117
22,S1_video,视频播放/视频流,1.0,13.283905642906324,cutoff,0.069063622913355,25.74663762818855
23,S1_video,视频播放/视频流,1.0,8.332392793280091,cutoff,0.0638018296497481,26.84454269548651
24,S1_video,视频播放/视频流,1.0,8.725165998821307,cutoff,0.0549801538727545,26.70459877076634
25,S1_video,视频播放/视频流,1.0,8.997133055309305,cutoff,0.0660144764752394,26.88304014337221
26,S1_video,视频播放/视频流,1.0,9.977920109257164,cutoff,0.0615210178684663,26.73662767133719
27,S1_video,视频播放/视频流,1.0,11.819416544926227,cutoff,0.0438591739370364,25.952211693921353
28,S1_video,视频播放/视频流,1.0,13.578617097225973,cutoff,0.057065933892322,25.56275344578103
29,S1_video,视频播放/视频流,1.0,11.910969390768209,cutoff,0.0579800214560577,25.929177113414404
30,S1_video,视频播放/视频流,1.0,12.37611292502222,cutoff,0.0390983332954885,25.956665974580552
31,S1_video,视频播放/视频流,1.0,9.745602690691303,cutoff,0.0434244459808409,26.307092454828368
32,S1_video,视频播放/视频流,1.0,11.24413109588236,cutoff,0.0586518620366003,26.228398367980997
33,S1_video,视频播放/视频流,1.0,12.559286013759952,cutoff,0.0583813510459655,25.91013337577359
