scenario_id,scenario_title_zh,soh,tte_mean_h,tte_p05_h,tte_p50_h,tte_p95_h,min_headroom_margin_mean,p_cutoff
S0_standby,待机/轻后台,0.624,15.831933495747325,15.788616469476354,15.833186086608116,15.872426270237685,0.9585148420616232,1.0
S0_standby,待机/轻后台,0.797,20.247633319777837,20.209361419612236,20.23941887625973,20.304168253448328,0.9644365812339257,1.0
S0_standby,待机/轻后台,0.833,21.16718556114883,21.119347607639163,21.165752117294126,21.20919337825898,0.9658547593087292,1.0
S0_standby,待机/轻后台,0.876,22.26501167514608,22.21869461337943,22.262996324808512,22.311796461877417,0.9674741242709441,1.0
S0_standby,待机/轻后台,0.917,23.316080321243287,23.278454400332,23.310530838675632,23.36128182650265,0.9694945830043353,1.0
S0_standby,待机/轻后台,0.958,24.366437108905238,24.318802941094027,24.366557429518355,24.417835065805868,0.9709864939302552,1.0
S0_standby,待机/轻后台,1.0,25.442907793816158,25.40905837340552,25.441870436574405,25.496567493302386,0.9729027834631377,1.0
S1_video,视频播放/视频流,0.624,3.098197999743742,3.0976242319419924,3.0982366660740004,3.098660492276222,0.887828012573228,1.0
S1_video,视频播放/视频流,0.797,3.9832095992932404,3.9826633729610603,3.98323242497805,3.9836738162046927,0.9054947978907506,1.0
S1_video,视频播放/视频流,0.833,4.168830260935014,4.168274926237799,4.168791750100931,4.169257510961976,0.9093136660765527,1.0
S1_video,视频播放/视频流,0.876,4.390996848231071,4.39009727516274,4.391056929166398,4.391574653033462,0.9135747583278853,1.0
S1_video,视频播放/视频流,0.917,4.603699205323641,4.603209950831708,4.603698873492273,4.604143269623661,0.9180429177857474,1.0
S1_video,视频播放/视频流,0.958,4.8168394367179515,4.815796035404878,4.816907803982293,4.817338345078398,0.9220862204784531,1.0
S1_video,视频播放/视频流,1.0,5.035977096925022,5.0354487471611,5.035994938762059,5.036436142181786,0.9267061928674373,1.0
S2_navigation,导航（GPS + 地图数据）,0.624,3.6386692986189018,3.6122561276448035,3.6364609257883957,3.667071228563149,0.8841143773022623,1.0
S2_navigation,导航（GPS + 地图数据）,0.797,4.6724354717382415,4.634919020295472,4.6722222222222225,4.709305555555555,0.9020650335296889,1.0
S2_navigation,导航（GPS + 地图数据）,0.833,4.889276708594887,4.852113751381578,4.884722222222223,4.931111111111111,0.9059078871583571,1.0
S2_navigation,导航（GPS + 地图数据）,0.876,5.152434437089405,5.1083333333333325,5.15,5.194638308854199,0.9103404736856454,1.0
S2_navigation,导航（GPS + 地图数据）,0.917,5.399113636647271,5.3606944444444435,5.397222222222222,5.445,0.9147475581260262,1.0
S2_navigation,导航（GPS + 地图数据）,0.958,5.649128945835974,5.603234798874812,5.648611111111111,5.692251231260061,0.9193269849229815,1.0
S2_navigation,导航（GPS + 地图数据）,1.0,5.906591659607573,5.869169720710904,5.905311448360558,5.966666666666667,0.9235078034600186,1.0
S3_gaming,游戏（高 CPU/GPU 负载）,0.624,2.3569871770461956,2.3522199937705675,2.357901339299425,2.3617115557818233,0.8560327791673934,1.0
S3_gaming,游戏（高 CPU/GPU 负载）,0.797,3.0362319660793475,3.0318402561865234,3.036001150362458,3.040977277928367,0.878796485625222,1.0
S3_gaming,游戏（高 CPU/GPU 负载）,0.833,3.179064142603424,3.1744166367441196,3.179380929620074,3.183629594979048,0.8832439503230137,1.0
S3_gaming,游戏（高 CPU/GPU 负载）,0.876,3.3502849486605064,3.3457929578329852,3.3502720817006777,3.355259819663678,0.889175523394233,1.0
S3_gaming,游戏（高 CPU/GPU 负载）,0.917,3.5138529902526785,3.5088393857537192,3.5139047250636004,3.5195606265188157,0.8950495748906743,1.0
S3_gaming,游戏（高 CPU/GPU 负载）,0.958,3.6776443719954344,3.6732480931715923,3.6777073841289196,3.6833600661010446,0.8991894818425475,1.0
S3_gaming,游戏（高 CPU/GPU 负载）,1.0,3.847016660167128,3.8421974294776984,3.8471712724119227,3.851154546277112,0.9056754739390541,1.0
S4_mixed_day,混合使用（标准一天）,0.624,8.403502415545628,8.340478074353571,8.407852183451253,8.455823580136977,0.9059650477843503,1.0
S4_mixed_day,混合使用（标准一天）,0.797,12.841144808109068,12.773351712494012,12.84923871500162,12.894501346219196,0.9242117977952466,1.0
S4_mixed_day,混合使用（标准一天）,0.833,13.769430557144094,13.711416770065867,13.776600985542938,13.819355077845433,0.9277196556062528,1.0
