scenario_id,title_zh,title_en,n_eff,P_total_W_median,P_total_W_p25,P_total_W_p75,TTE_full_h_median,TTE_full_h_p25,TTE_full_h_p75
S1_standby_light,S1 待机/轻度,S1 Standby/light,51.80866275187704,1.5864725356711191,1.3850486166941591,1.6267111490975974,9.70707002720687,9.466954233726746,11.118743280475451
S2_browse_social,S2 浏览/社交,S2 Browsing/social,187.01382046734943,2.1041405525849037,1.8582092335774643,2.269226367305824,7.318902713547981,6.7864538425418965,8.287548959355664
S3_video_streaming,S3 视频/直播,S3 Video/streaming,171.13791076982906,2.3428653470689356,1.9956855483080553,2.8084832290925124,6.573147713873663,5.483386847560456,7.716646549380557
S4_gaming,S4 游戏,S4 Gaming,54.893024725162896,4.3133906590096815,3.6343772543853827,4.671576547725882,3.570277124756354,3.296531661778442,4.2373146545031215
S5_nav_call,S5 导航/通话,S5 Navigation/calls,51.77600204907242,3.53418924214341,3.215187324364384,4.0856227930933295,4.357435028199065,3.7693151766319244,4.7897675769309815
