scenario_id,n_eff,screen_int_median,cpu_int_median,gpu_int_median,wifi_int_median,infra_int_median,P_total_W_median
S1_standby_light,51.80866275187704,0.1703,0.2278,0.21839999999999998,0.3765,0.182,1.5864725356711191
S2_browse_social,187.01382046734943,0.5938,0.4272,0.43879999999999997,0.555,0.388,2.1041405525849037
S3_video_streaming,171.13791076982906,0.5967,0.49879999999999997,0.49679999999999996,0.864,0.521,2.3428653470689356
S4_gaming,54.893024725162896,0.6500999999999999,0.9254,0.9236,0.735,0.957,4.3133906590096815
S5_nav_call,51.77600204907242,0.6349,0.9028,0.913,0.226,0.912,3.53418924214341
