kind,dataset,filename,raw_path,extracted_dir,size_bytes,sha256,status_download,status_extract,url
data,energy_trading_battery_degradation_dataset,SPM_cell2_capacityData.csv,data/energy_trading_battery_degradation_dataset/SPM_cell2_capacityData.csv,,454,6b897f0e802d5106eea68347f88e35c25d5a1f5aeaf80545445de281cf9003ef,skip,n/a,https://ora.ox.ac.uk/objects/uuid:9aae61af-2949-49f1-8ad5-6aea448979e5/files/dg732d903f
data,energy_trading_battery_degradation_dataset,SPM_cell2_profileData.csv,data/energy_trading_battery_degradation_dataset/SPM_cell2_profileData.csv,,2967350,2a694d90ee810efca6b25a51513e591bb22465e3fff5dfd0643c949fdf9e3edc,skip,n/a,https://ora.ox.ac.uk/objects/uuid:9aae61af-2949-49f1-8ad5-6aea448979e5/files/dhx11xf35n
data,oxford_battery_degradation_dataset_1,ExampleDC_C1.mat,data/oxford_battery_degradation_dataset_1/ExampleDC_C1.mat,,72593,144cdf5aec7467bcce5445e132495e8477f4e08d9963c221d8ba5d7970a7a97d,skip,n/a,https://ora.ox.ac.uk/objects/uuid:03ba4b01-cfed-46d3-9b1a-7d4a7bdf6fac/files/me9fc40a60ac98708f1b73f3a836548e9
data,oxford_battery_degradation_dataset_1,Oxford_Battery_Degradation_Dataset_1.mat,data/oxford_battery_degradation_dataset_1/Oxford_Battery_Degradation_Dataset_1.mat,,266164290,a8f0b928f4ea77d7ba98b97194b78cc77336f2338fee8b57573d043f0cf26781,skip,n/a,https://ora.ox.ac.uk/objects/uuid:03ba4b01-cfed-46d3-9b1a-7d4a7bdf6fac/files/m5ac36a1e2073852e4f1f7dee647909a7
data,oxford_battery_degradation_dataset_1,Readme.txt,data/oxford_battery_degradation_dataset_1/Readme.txt,,5643,f04c8bdae97e98632b9daeaa7c71631990dbf5ecbf38711347fc470baefc0def,skip,n/a,https://ora.ox.ac.uk/objects/uuid:03ba4b01-cfed-46d3-9b1a-7d4a7bdf6fac/files/m43cc05e7c5f1245f4895d9dbd495e52f
data,path_dependence_battery_degradation_dataset,EIS.zip,data/path_dependence_battery_degradation_dataset/EIS.zip,,190279,64d1fc94dcd3b2403d3f84b88666781a4f6153068e2ef4311d7cde97106a6d27,skip,n/a,https://ora.ox.ac.uk/objects/uuid:de62b5d2-6154-426d-bcbb-30253ddb7d1e/files/dpv63g027b
data,path_dependence_battery_degradation_dataset,Group_1.zip,data/path_dependence_battery_degradation_dataset/Group_1.zip,,862297104,72425bb5bb4c205161bd6d688219cdb8db54bc069249aedee1bd06ae4d771c1d,skip,n/a,https://ora.ox.ac.uk/objects/uuid:de62b5d2-6154-426d-bcbb-30253ddb7d1e/files/dwh246s15b
data,path_dependence_battery_degradation_dataset,Group_2.zip,data/path_dependence_battery_degradation_dataset/Group_2.zip,,759769860,4641d6cfc8bc9535c8ec8fe69ed45d02447b2e3420816c0b66785f56687a61a6,skip,n/a,https://ora.ox.ac.uk/objects/uuid:de62b5d2-6154-426d-bcbb-30253ddb7d1e/files/dt148fh185
data,path_dependence_battery_degradation_dataset,Group_3.zip,data/path_dependence_battery_degradation_dataset/Group_3.zip,,811325267,f4ee448f0e35ee41ee249382fb3cd6f7c0a2abb1b5774a32146a7c5f5d7e0159,skip,n/a,https://ora.ox.ac.uk/objects/uuid:de62b5d2-6154-426d-bcbb-30253ddb7d1e/files/dff365528c
data,path_dependence_battery_degradation_dataset,Group_4.zip,data/path_dependence_battery_degradation_dataset/Group_4.zip,,829038308,57b2ebeb6775525aa2275905c8e1406c2be8c63f49ba0c5ef28019f18e8cf736,skip,n/a,https://ora.ox.ac.uk/objects/uuid:de62b5d2-6154-426d-bcbb-30253ddb7d1e/files/d41687h50f
data,path_dependence_battery_degradation_dataset,Guide_to_Datafiles.pdf,data/path_dependence_battery_degradation_dataset/Guide_to_Datafiles.pdf,,125508,7431d5a7f94881e19d209452ab44820f9a0ddec0424ae930cbc2f474dead493c,skip,n/a,https://ora.ox.ac.uk/objects/uuid:de62b5d2-6154-426d-bcbb-30253ddb7d1e/files/dm613mx62f
data,path_dependence_battery_degradation_dataset,Guide_to_Datafiles.xlsx,data/path_dependence_battery_degradation_dataset/Guide_to_Datafiles.xlsx,,21906,54f8fddb5d71e9c7179ac25d45b751b12f2b413573a7f190a8ffef95135a6aa7,skip,n/a,https://ora.ox.ac.uk/objects/uuid:de62b5d2-6154-426d-bcbb-30253ddb7d1e/files/dz029p477c
data,path_dependence_battery_degradation_dataset,Half_Cell.zip,data/path_dependence_battery_degradation_dataset/Half_Cell.zip,,8926444,43682be83c416f12e046ba97ee7d45b3b311615e0ef4b93c243e3f3462ec4dcd,skip,n/a,https://ora.ox.ac.uk/objects/uuid:de62b5d2-6154-426d-bcbb-30253ddb7d1e/files/dmc87pq32r
data,path_dependence_battery_degradation_dataset,Readme.txt,data/path_dependence_battery_degradation_dataset/Readme.txt,,4641,59489534eaa5cddd2cef74b057855d2074bbef802d3aa12db6e082f9886dc59c,skip,n/a,https://ora.ox.ac.uk/objects/uuid:de62b5d2-6154-426d-bcbb-30253ddb7d1e/files/d7s75dc40b
