phone_test_id,radio_mode,duration_s_est,bytes_MB,throughput_MBps,P_radio_W,E_radio_J
-1,wifi,29.745867781024316,6.204451,0.2085819464294797,0.15032659501320036,4.517761999999999
1,wifi,29.852907032019957,1.638739,0.054893782982082896,0.20818722560058048,6.2004459999999995
10,wifi,30.933543941235566,4.348794,0.14058505576539826,0.23333737863053966,7.152703
100,wifi,29.97951177805678,1.410435,0.047046630059944965,0.20462300298370933,6.182307
101,wifi,30.017845167330858,1.487905,0.04956734874558294,0.20178155567268394,6.06516
102,wifi,29.947601105176865,1.797895,0.06003469171656652,0.21163745799707573,6.357893
103,wifi,33.917142020501196,2.884519,0.08504605129336824,0.2036255709990315,6.838716
104,wifi,30.51226387492342,1.098314,0.03599582136881859,0.20088027460116445,6.100188
105,wifi,32.36959591439104,6.623737,0.2046283499342414,0.2268501170456889,7.268522
106,wifi,30.889354012552356,3.200962,0.1036267057802258,0.2246433555414465,6.79632
107,wifi,30.040303270276898,1.177956,0.03921252023995103,0.19096420516623597,5.750887
108,wifi,34.38134371701694,1.176999,0.03423365327683362,0.19784887080070107,6.696675
109,wifi,31.606295055027587,1.41404,0.04473918874509367,0.20112389462557967,6.328937
11,wifi,25.026378682342806,1.17558,0.04697363589520935,0.21171810332243396,5.249594999999999
110,wifi,29.615550125807825,2.496265,0.08428899646961764,0.19848418266432027,5.88089
111,wifi,29.787412331141358,1.955607,0.06565212775986935,0.2083954677413162,6.216555
112,wifi,29.52026868161812,1.642793,0.05564966287122398,0.19572582641878072,5.797034
113,wifi,34.569896955570734,2.575471,0.07450039562773351,0.20663673264192142,7.085115999999999
114,wifi,30.033916719063477,1.940984,0.06462640281505462,0.19663471533616858,5.910387
115,wifi,32.459781850205935,2.966262,0.09138268438428156,0.20537235125071387,6.681521
116,wifi,31.996230617763885,0.945951,0.02956445124116653,0.19599245224041198,6.244631999999999
117,wifi,30.212397018662987,1.333649,0.04414244256012425,0.19572792371082534,5.893555
118,wifi,29.920500378858442,2.150218,0.07186437301427369,0.20518505586578545,6.127497
119,wifi,29.991420427251054,1.023756,0.03413496211302438,0.19275651474524147,5.77924
12,wifi,34.30156352442275,1.486585,0.04333869501142565,0.21024861508164788,6.976696
120,wifi,29.960580656249647,0.789579,0.026353928485538122,0.1958779627197937,5.910507
121,wifi,32.067439760530185,1.643167,0.05124097877069912,0.20331251304282283,6.452019
122,wifi,29.958781260423425,0.866941,0.02893779264463133,0.19452326130240563,5.83402
123,wifi,30.058415680624176,0.945994,0.031471851678789346,0.19468283586675417,5.895150999999999
124,wifi,33.96666162671088,0.867747,0.025547020473675772,0.1933797293202909,6.5083459999999995
125,wifi,25.892978050216044,6.034295,0.2330475462612788,0.23591123086910432,6.066294999999999
126,wifi,29.18142121213053,3.812982,0.13066471205367364,0.20476555235313024,5.868676
127,wifi,30.39982734492579,1.177839,0.03874492399696474,0.1991162269021014,6.205139
128,wifi,30.016664414539257,6.193224,0.20632618982808,0.23106266914699986,6.9787729999999994
129,wifi,30.55378660219417,0.867523,0.02839330559236479,0.06701406566101192,2.04204
13,wifi,29.64643249142625,2.107326,0.07108194217329315,0.2065153600937317,6.160349
130,wifi,34.185652149341536,2.059401,0.06024167656663138,0.19619295719690008,6.61269
