phone_test_id,brightness_pct,brightness_nits,apl,obs_screen_w,obs_total_w
-1,48.0,240.0,0.33986928104575165,0.33277981794409756,6.186047566492058
1,100.0,500.0,0.6013071895424837,0.5543900827312306,4.226042872966518
10,53.0,265.0,0.5019607843137255,0.3728082304122917,2.645931004720527
100,47.0,235.0,0.4483660130718954,0.3011251773961426,2.1488482359860392
101,78.0,390.0,0.5163398692810457,0.5650188342207589,1.985825986765873
102,34.0,170.0,0.23790849673202613,0.2389960414975774,1.7980081880645842
103,36.0,180.0,0.5869281045751633,0.32540987376624214,2.964708699194641
104,17.0,85.0,0.5150326797385621,0.2347903821257434,2.259497829548481
105,96.0,480.0,0.5529411764705883,0.46924218322580646,1.912301134796681
106,3.0,15.0,0.050980392156862744,0.15274679219744738,2.425428546338494
107,31.0,155.0,0.49542483660130715,0.24375966965894882,1.9988281895746165
108,15.0,75.0,0.3464052287581699,0.16622053703463222,1.6759725412209552
109,17.0,85.0,0.3568627450980392,0.19975385069614138,1.7759791175230173
11,83.0,415.0,0.5607843137254902,0.5498183107398084,1.8148997734157215
110,27.0,135.0,0.4287581699346405,0.2164460238854906,2.2970910116816325
111,76.0,380.0,0.5215686274509804,0.6294723426441675,3.373633966013908
112,32.0,160.0,0.403921568627451,0.22381013598527735,1.9202167030172457
113,80.0,400.0,0.33986928104575165,0.2563656903347889,2.1517365555240175
114,78.0,390.0,0.6771241830065359,0.5470226813421354,3.070943389193629
115,52.0,260.0,0.6640522875816994,0.47407617541976016,2.279209833923472
116,14.0,70.0,0.6705882352941176,0.22329203197294595,2.1496592777342247
117,98.0,490.0,0.18823529411764706,0.21283997149040662,2.7310975011029264
118,52.0,260.0,0.4,0.23475535459755295,1.9546319499831615
119,38.0,190.0,0.469281045751634,0.2501358456404289,1.6533334298146452
12,28.0,140.0,0.657516339869281,0.2869443071114326,1.4959049888051281
120,73.0,365.0,0.4143790849673203,0.288180487037895,1.7227510572040068
121,33.0,165.0,0.615686274509804,0.3109354015604822,2.161987159490457
122,97.0,485.0,0.2222222222222222,0.2229207667357171,1.7806864550419301
123,48.0,240.0,0.6705882352941176,0.38308642795493913,2.281797674526529
124,49.0,245.0,0.4117647058823529,0.263570637117273,2.052270304514767
125,70.0,350.0,0.5594771241830065,0.570919756404427,1.5714394814334807
