sample_idx,scenario_id,scenario_title_zh,soc0,tte_h,status,soc_end,temp_peak_C
60,S0_standby,待机/轻后台,1.0,62.022222222222226,cutoff,0.0518589004191359,25.0
61,S0_standby,待机/轻后台,1.0,50.40416666666667,cutoff,0.0667062560571243,25.0
62,S0_standby,待机/轻后台,1.0,72.0125,soc_min,0.0499903649429793,25.0
63,S0_standby,待机/轻后台,1.0,48.66944444444445,soc_min,0.0999909926157519,25.0
64,S0_standby,待机/轻后台,1.0,60.84027777777778,soc_min,0.0499766499182036,25.0
65,S0_standby,待机/轻后台,1.0,57.68333333333333,soc_min,0.0999931902922333,25.0
66,S0_standby,待机/轻后台,1.0,74.9263888888889,soc_min,0.0999847196117864,25.0
67,S0_standby,待机/轻后台,1.0,59.8125,cutoff,0.0595962690452993,25.0
68,S0_standby,待机/轻后台,1.0,63.23194444444445,cutoff,0.0577291296211036,25.0
69,S0_standby,待机/轻后台,1.0,63.30972222222222,cutoff,0.0653001211105355,25.0
70,S0_standby,待机/轻后台,1.0,58.36547889954561,cutoff,0.0452369831336678,25.0
71,S0_standby,待机/轻后台,1.0,58.38611111111111,cutoff,0.0378227707458857,25.0
72,S0_standby,待机/轻后台,1.0,72.0513888888889,soc_min,0.0999891940107686,25.0
73,S0_standby,待机/轻后台,1.0,69.69552292808602,cutoff,0.0630692520168292,25.0
74,S0_standby,待机/轻后台,1.0,58.625,soc_min,0.0999891797501243,25.0
75,S0_standby,待机/轻后台,1.0,59.02638888888889,soc_min,0.0999907855280618,25.0
76,S0_standby,待机/轻后台,1.0,62.99722222222222,cutoff,0.0612068900995106,25.0
77,S0_standby,待机/轻后台,1.0,48.09305555555556,cutoff,0.0621352746881963,25.0
78,S0_standby,待机/轻后台,1.0,79.45138888888889,soc_min,0.0499899822750875,25.0
79,S0_standby,待机/轻后台,1.0,51.88333333333333,soc_min,0.0999838601876672,25.0
0,S1_video,视频播放/视频流,1.0,10.960542025711998,cutoff,0.0442327546276531,25.998803937178277
1,S1_video,视频播放/视频流,1.0,8.569352670267664,cutoff,0.0719486644265035,26.61687016562279
2,S1_video,视频播放/视频流,1.0,8.969114735624514,cutoff,0.0495809201233429,26.7335059663607
3,S1_video,视频播放/视频流,1.0,8.644521696661641,cutoff,0.0495436427252802,27.158294208344955
4,S1_video,视频播放/视频流,1.0,11.29842493431206,cutoff,0.0621758725473386,26.190444331782572
5,S1_video,视频播放/视频流,1.0,9.701835503798414,cutoff,0.0659998320190584,26.474597193456304
6,S1_video,视频播放/视频流,1.0,10.447151256339712,cutoff,0.0501192538675795,26.217522689179383
7,S1_video,视频播放/视频流,1.0,8.936111111111112,soc_min,0.0999458707557787,26.395063745149617
8,S1_video,视频播放/视频流,1.0,9.799944491911752,cutoff,0.0551017682325848,26.32858356006234
9,S1_video,视频播放/视频流,1.0,10.0,soc_min,0.0998770904440273,26.259444107032177
10,S1_video,视频播放/视频流,1.0,9.119444444444444,soc_min,0.0999203804538967,26.55196878659646
11,S1_video,视频播放/视频流,1.0,10.447327880367531,cutoff,0.054427079861972,26.05029623817264
12,S1_video,视频播放/视频流,1.0,8.9001088762376,cutoff,0.0512024621054967,26.977248642051123
13,S1_video,视频播放/视频流,1.0,10.356896961483075,cutoff,0.0433104262099199,26.187330620481973
14,S1_video,视频播放/视频流,1.0,11.435546159890633,cutoff,0.0708729274206799,25.958154647288644
15,S1_video,视频播放/视频流,1.0,10.2875,soc_min,0.0999233225844462,26.043779476355944
16,S1_video,视频播放/视频流,1.0,12.416822115380151,cutoff,0.056765069809282,26.014790691141464
17,S1_video,视频播放/视频流,1.0,9.75,soc_min,0.0999029824731285,26.246066378818583
18,S1_video,视频播放/视频流,1.0,12.800706596568103,cutoff,0.0615696041132655,25.660720480105873
19,S1_video,视频播放/视频流,1.0,10.08127300504689,cutoff,0.0706832515449746,26.184640330647525
20,S1_video,视频播放/视频流,1.0,11.870833333333334,soc_min,0.099925289694023,25.830384233075197
21,S1_video,视频播放/视频流,1.0,8.126348066442208,cutoff,0.0735105559118282,26.924039592632987
22,S1_video,视频播放/视频流,1.0,13.281531205106884,cutoff,0.0690674115007659,25.74699277004768
23,S1_video,视频播放/视频流,1.0,8.332806846395414,cutoff,0.0638019974563418,26.843448770375804
24,S1_video,视频播放/视频流,1.0,8.726339890754735,cutoff,0.0549798293871416,26.703122112906257
25,S1_video,视频播放/视频流,1.0,8.998429863895703,cutoff,0.0660117990336256,26.88116121497618
26,S1_video,视频播放/视频流,1.0,9.978425007931408,cutoff,0.0615214848862017,26.731363016888885
27,S1_video,视频播放/视频流,1.0,11.820833333333333,cutoff,0.0438678720118142,25.95002014683096
28,S1_video,视频播放/视频流,1.0,13.575437433282344,cutoff,0.0570657264722868,25.56409854848109
29,S1_video,视频播放/视频流,1.0,11.910615064063052,cutoff,0.0579732653195625,25.927508880914168
30,S1_video,视频播放/视频流,1.0,12.373564998816985,cutoff,0.0390981077241322,25.957427543694667
31,S1_video,视频播放/视频流,1.0,9.746441927983678,cutoff,0.0434202941818588,26.300793284880815
32,S1_video,视频播放/视频流,1.0,11.243839325000934,cutoff,0.0586517962488159,26.228044227928446
33,S1_video,视频播放/视频流,1.0,12.55974530730976,cutoff,0.0583802619310235,25.90762750360173
34,S1_video,视频播放/视频流,1.0,10.408357005071515,cutoff,0.0597503442738034,26.435535002327043
35,S1_video,视频播放/视频流,1.0,11.097811860626528,cutoff,0.0529419414014565,26.385616671743197
36,S1_video,视频播放/视频流,1.0,8.969701850354658,cutoff,0.0652577299356266,27.12027250873897
37,S1_video,视频播放/视频流,1.0,9.78472222222222,soc_min,0.0999938605632794,26.5176641815945
38,S1_video,视频播放/视频流,1.0,8.256944444444445,soc_min,0.0998714708741516,26.601129750223883
39,S1_video,视频播放/视频流,1.0,9.542041879647805,cutoff,0.0563295547626701,26.402238006103463
40,S1_video,视频播放/视频流,1.0,11.411537306683725,cutoff,0.0541429550490292,26.309862901204493
