scenario_id,scenario_title_zh,soc0,n,mean_h,p05_h,p50_h,p95_h
S0_standby,待机/轻后台,0.25,80,11.509007059784905,8.005694444444444,11.638270817296911,14.955977471280107
S0_standby,待机/轻后台,0.5,80,27.54886401403452,21.454175524858535,27.32765731791553,34.64037133757717
S0_standby,待机/轻后台,0.75,80,44.13369029149967,34.59575676053392,43.36666666666666,54.71368205641046
S0_standby,待机/轻后台,1.0,80,61.38750004061296,48.54212243759649,60.44861111111111,75.72563231792097
S1_video,视频播放/视频流,0.25,80,1.8450515373827896,1.3055555555555556,1.849902342980566,2.4099375185150373
S1_video,视频播放/视频流,0.5,80,4.472806067343155,3.5415277777777776,4.458258046701663,5.672578689683052
S1_video,视频播放/视频流,0.75,80,7.189605159925682,5.818191081832409,7.077017974866557,8.9781206348687
S1_video,视频播放/视频流,1.0,80,10.018262483498392,8.158168376142665,9.901524569707137,12.424942734970784
S2_navigation,导航（GPS + 地图数据）,0.25,80,1.3361656839976943,0.9355555555555556,1.3111111111111111,1.7388082594608911
S2_navigation,导航（GPS + 地图数据）,0.5,80,3.2598956244092863,2.4859722222222222,3.221001133320895,4.1066103387452175
S2_navigation,导航（GPS + 地图数据）,0.75,80,5.256405734881026,4.0929166666666665,5.183246931594489,6.5689044307992175
S2_navigation,导航（GPS + 地图数据）,1.0,80,7.3302964528320445,5.791111111111111,7.191101754934381,9.164615777444322
S3_gaming,游戏（高 CPU/GPU 负载）,0.25,80,0.6038440492255039,0.4075,0.6069444444444444,0.8720920964292156
S3_gaming,游戏（高 CPU/GPU 负载）,0.5,80,1.5045788504122044,1.0634333141825945,1.53030088224872,2.045423092089686
S3_gaming,游戏（高 CPU/GPU 负载）,0.75,80,2.4373583212966388,1.7481093816980733,2.4871599144420347,3.245293197185911
S3_gaming,游戏（高 CPU/GPU 负载）,1.0,80,3.4088303226034755,2.4436803091372146,3.4578234492932864,4.493608139923595
S4_mixed_day,混合使用（标准一天）,0.25,80,2.3731034218472464,1.757083333333333,2.3482558554843296,2.946499560913991
S4_mixed_day,混合使用（标准一天）,0.5,80,15.232580164386407,9.803888888888888,15.117838111049476,22.34953746347894
S4_mixed_day,混合使用（标准一天）,0.75,80,25.83452503790918,23.41258827463114,25.629166666666663,29.685413137775328
S4_mixed_day,混合使用（标准一天）,1.0,80,36.72055352315623,26.727003425640483,36.4369101345583,48.84159198887858
S5_burst_recovery,高负载→休止：恢复效应演示,0.25,80,1.705950218615465,1.0256944444444445,1.487781943609937,2.6666666666666665
S5_burst_recovery,高负载→休止：恢复效应演示,0.5,80,4.4606191913133895,3.3382936949567736,4.683657017474529,6.0580909543637045
S5_burst_recovery,高负载→休止：恢复效应演示,0.75,80,7.363403548291387,5.355753668646469,7.425318575995915,10.009419239211349
S5_burst_recovery,高负载→休止：恢复效应演示,1.0,80,10.424589476112905,7.413540143080297,10.427968822850584,14.001121497906308
