t_s,t_h,step_index,i_A,v1_V,v2_V,v1_plus_v2_V
0.0,0.0,1,-0.0,0.0,0.0,0.0
10.01560611560307,0.002782112809889742,1,-0.0,0.0,0.0,0.0
20.031092693741744,0.005564192414928263,1,-0.0,0.0,0.0,0.0
30.046688674123697,0.008346302409478805,1,-0.0,0.0,0.0,0.0
40.062234234036254,0.011128398398343405,1,-0.0,0.0,0.0,0.0
49.999641670233245,0.013888789352842568,1,-0.0,0.0,0.0,0.0
50.00007629196527,0.013888910081101465,2,-0.9988247156143188,0.0,0.0,0.0
60.01753310062948,0.016671536972397077,3,-0.16895613074302673,-5.388255411572731e-08,-2.802247946923674e-09,-5.668480206265098e-08
70.01764286415641,0.019449345240043447,3,-0.16482028365135193,-0.00020495430898395987,-1.0924483113633809e-05,-0.00021587879209759367
80.03318480005073,0.022231440222236314,3,-0.1615835279226303,-0.000394508176150085,-2.1552955454244754e-05,-0.0004160611316043297
90.04873408423099,0.025013537245619718,3,-0.1587064117193222,-0.0005711639646114329,-3.1981406286088815e-05,-0.0006031453708975217
100.06432283161391,0.027795645231003863,3,-0.15564946830272675,-0.000735702610496543,-4.2216826259882613e-05,-0.0007779194367564257
110.07989138374171,0.03057774760659492,3,-0.1533118039369583,-0.0008884983840443185,-5.224775629218455e-05,-0.0009407461403365031
120.09540934497598,0.033359835929159996,3,-0.15115396678447723,-0.0010309961035669757,-6.212076226969116e-05,-0.0010931168658366668
130.11098901476964,0.03614194139299157,3,-0.14881631731987,-0.001163916466264442,-7.18475449017206e-05,-0.0012357640111661627
140.1265151463355,0.03892403198509319,3,-0.14665848016738892,-0.0012875106888495685,-8.141669120645436e-05,-0.001368927380056023
150.1420583854729,0.04170612732929803,3,-0.144680455327034,-0.0014024509349301125,-9.083981938030077e-05,-0.0014932907543104132
160.1574166442939,0.04448817129008164,3,-0.14252261817455292,-0.0015093787533261148,-0.00010012871691604488,-0.0016095074702421597
170.1575079067817,0.04726597441855047,3,-0.1405446082353592,-0.0016084655025690453,-0.0001092716689563448,-0.00171773717152539
180.1730782283126,0.05004807728564239,3,-0.13874639570713043,-0.0017001775981279337,-0.00011826684008792301,-0.0018184444382158566
190.1886233972522,0.05283017316590339,3,-0.1367683857679367,-0.0017853680882913777,-0.00012715359520378526,-0.001912521683495163
200.204303095964,0.05561230641554556,3,-0.13497018814086914,-0.0018639988794299208,-0.00013590644693477867,-0.0019999053263646993
210.20436717580884,0.058390101993280236,3,-0.1335316300392151,-0.0019366095649370938,-0.00014453724576180292,-0.0020811468106988968
220.21942496191505,0.06117206248942085,3,-0.13155360519886017,-0.002003826891294376,-0.00015305590308632803,-0.002156882794380704
230.23517556206232,0.0639542154339062,3,-0.12993523478507996,-0.0020654611499044706,-0.00016145370336787378,-0.0022269148532723443
240.2352566091295,0.06673201572475819,3,-0.12795720994472504,-0.0021221266438934804,-0.00016974177695267646,-0.002291868420846157
250.25060935422977,0.06951405815395272,3,-0.12669847905635834,-0.00217354724299149,-0.00017788361938575882,-0.0023514308623772484
260.26631654134536,0.0722961990392626,3,-0.12490027397871017,-0.0022210066284098274,-0.00018595100543062978,-0.002406957633840457
270.2816199236082,0.07507822775655784,3,-0.12310207635164261,-0.002263969066959414,-0.0001938969717344054,-0.0024578660386938194
280.281789696466,0.07785605269346277,3,-0.12184333801269531,-0.0023026510635331824,-0.0002017210005867804,-0.0025043720641199627
290.2974224784273,0.08063817291067424,3,-0.12040477991104126,-0.0023378655072452993,-0.00020944667189339356,-0.002547312179138693
300.312617932114,0.08342017164780945,3,-0.11896622180938721,-0.0023696686888831425,-0.00021708605737237374,-0.0025867547462555163
310.3127937249523,0.0861979982569312,3,-0.11716802418231964,-0.0023981729183211783,-0.00022462694457648082,-0.002622799862897659
320.32883411122117,0.08898023169756143,3,-0.11590927839279175,-0.0024230681571517443,-0.00023203536809876337,-0.002655103525250508
330.34388977203866,0.09176219160334408,3,-0.11465054005384445,-0.002445259510846199,-0.00023936914634441076,-0.0026846286571906098
340.3594104600585,0.09454428068334958,3,-0.11303216218948364,-0.002464838673528256,-0.00024661586930650644,-0.0027114545428347627
350.3749844406949,0.0973263845668597,3,-0.11159360408782959,-0.002481500058160205,-0.0002537534059474074,-0.0027352534641076126
360.3905055347251,0.10010847375964586,3,-0.1103348657488823,-0.0024956034053959216,-0.000260793153269534,-0.0027563965586654554
370.4061140112031,0.1028905872253342,3,-0.109076127409935,-0.002507491552047675,-0.00026774672484208557,-0.0027752382768897604
380.4216143836684,0.10567267066213011,3,-0.10763756930828094,-0.0025172728540858885,-0.0002746142763184049,-0.0027918871304042935
390.4371810110065,0.10845477250305735,3,-0.10619901120662689,-0.0025248320004358075,-0.00028138411070905035,-0.002806216111144858
400.4525159217266,0.1112368099782574,3,-0.10476045310497284,-0.002530277668807996,-0.00028805641268181073,-0.0028183340814898067
410.4526640908244,0.11401462891411789,3,-0.10350171476602554,-0.0025337129649395246,-0.00029463105172660467,-0.0028283440166661294
420.46811951644116,0.1167966998656781,3,-0.10206315666437149,-0.002535451663386011,-0.00030111003406347616,-0.002836561697449487
430.4837608847692,0.11957882246799144,3,-0.10116405040025711,-0.002535363747752222,-0.0003075015520899639,-0.0028428652998421858
438.79619646099155,0.12188783235027544,3,-0.09990531206130981,-0.00253418991830277,-0.0003138307330629798,-0.0028480206513657497
448.7967350621715,0.12466575973949208,4,-0.0,-0.002531987275691115,-0.00031901281724569405,-0.002851000092936809
458.81234103241286,0.12744787250900358,4,-0.0,-0.0024084943129999365,-0.0003187962237078837,-0.00272729053670782
468.82768307588253,0.13022991196552292,4,-0.0,-0.0022908518974604965,-0.0003185794512266703,-0.002609431348687167
478.8277766290706,0.1330077157302974,4,-0.0,-0.0021789585772398474,-0.00031836283185112394,-0.0024973214090909714
488.8431873484377,0.13578977426345493,4,-0.0,-0.002072688543904797,-0.00031814668923648765,-0.002390835233141285
498.8432950919379,0.13856758196998276,4,-0.0,-0.001971450417588876,-0.0003179303626363402,-0.002289380780225216
508.85884846128386,0.1413496801281344,4,-0.0,-0.0018753006358966492,-0.0003177145133271344,-0.0021930151492237835
518.8743670290274,0.1441317686191743,4,-0.0,-0.0017837024263422801,-0.00031749847751282576,-0.002101200903855106
528.8897164157706,0.14691381011549184,4,-0.0,-0.0016965785850336773,-0.00031728258934594005,-0.0020138611743796176
538.8898627352656,0.14969162853757378,4,-0.0,-0.001613711618890105,-0.0003170668516187051,-0.00193077847050881
548.9054222047918,0.15247372839021994,4,-0.0,-0.0015350088515374766,-0.00031685158773436605,-0.0018518604392718427
558.9209617898362,0.15525582271939894,4,-0.0,-0.0014600319954158724,-0.00031663613855097226,-0.0017766681339668447
568.9362912118979,0.15803785866997164,4,-0.0,-0.0013887174900920206,-0.0003164208362936018,-0.0017051383263856224
578.9364428345898,0.16081567856516382,4,-0.0,-0.001320887692789154,-0.0003162056849479799,-0.0016370933777371337
588.9519917328097,0.16359777548133603,4,-0.0,-0.0012564662872971593,-0.00031599100561543754,-0.0015724572929125967
598.9675401448195,0.16637987226244985,4,-0.0,-0.0011950947877219845,-0.0003157761418277153,-0.0015108709295497
608.9831092934315,0.169161974803731,4,-0.0,-0.0011367209526845184,-0.0003155614241509237,-0.0014522823768354422
618.9986855697808,0.17194407932493913,4,-0.0,-0.0010811982476825912,-0.00031534685203117796,-0.0013965450997137693
629.0142035109653,0.17472616764193483,4,-0.0,-0.00102838749155624,-0.00031513242566136497,-0.0013435199172176049
639.0297869651763,0.1775082741569934,4,-0.0,-0.0009781565439334829,-0.00031491814634267157,-0.0012930746902761543
649.0453101243454,0.1802903639234293,4,-0.0,-0.0009303787909564495,-0.0003147040113264141,-0.0012450828022828636
659.060858491243,0.18307246069201197,4,-0.0,-0.0008849349942894661,-0.0003144900232034326,-0.0011994250174928987
669.0762108353455,0.18585450300981818,4,-0.0,-0.0008417107666555204,-0.0003142761800471337,-0.0011559869467026541
679.0763962872201,0.18863233230200557,4,-0.0,-0.0008005985904775304,-0.00031406248647837873,-0.0011146610769559092
689.0917517039686,0.19141437547332463,4,-0.0,-0.0007615522303190235,-0.0003138492614916441,-0.0010754014918106676
699.1075118729275,0.1941965310758132,4,-0.0,-0.0007243552737528782,-0.000313635858142723,-0.0010379911318956013
709.1230383152666,0.19697862175424072,4,-0.0,-0.0006889737563325866,-0.00031342259128294887,-0.0010023963476155353
719.1385762612322,0.19976071562812006,4,-0.0,-0.0006553212337206156,-0.00031320947441257867,-0.0009685307081331942
729.1541641314324,0.20254282336984233,4,-0.0,-0.0006233124131608839,-0.0003129965022100143,-0.0009363089153708982
739.169701686425,0.20532491713511805,4,-0.0,-0.0005928668985929491,-0.0003127836737610695,-0.0009056505723540186
749.1852411461575,0.2081070114294882,4,-0.0,-0.0005639086282455645,-0.0003125709910973267,-0.0008764796193428912
759.2005924827527,0.21088905346743128,4,-0.0,-0.000536364804201445,-0.0003123584530104297,-0.0008487232572118747
769.2163666916495,0.21367121296990263,4,-0.0,-0.0005101668238067801,-0.0003121460634305635,-0.0008223128872373437
779.2319303315534,0.21645331398098705,4,-0.0,-0.00048524742072871316,-0.00031193380930752233,-0.0007971812300362355
789.2474321877107,0.21923539782991966,4,-0.0,-0.0004615457067066774,-0.00031172170397157276,-0.0007732674106782501
799.2630117372051,0.22201750326033476,4,-0.0,-0.00043900182893648337,-0.0003115097441677824,-0.0007505115731042658
809.2785531618273,0.2247995981005076,4,-0.0,-0.0004175589289269666,-0.00031129792684664895,-0.0007288568557736155
819.2941314932905,0.2275817031925807,4,-0.0,-0.00039716347602793985,-0.0003110862543604392,-0.0007082497303883791
829.3096442565898,0.23036379007127494,4,-0.0,-0.00037776415891223585,-0.00031087472502544104,-0.0006886388839376768
839.325213966599,0.23314589276849973,4,-0.0,-0.000359312512748304,-0.00031066334090744423,-0.0006699758536557483
849.3403768542464,0.2359278824595129,4,-0.0,-0.000341762028003397,-0.0003104520993227026,-0.0006522141273260996
859.3407253769163,0.23870575704914343,4,-0.0,-0.00032506945132168466,-0.000310241009947458,-0.0006353104612691427
869.3560426788176,0.2414877896330049,4,-0.0,-0.0003092150882605855,-0.0003100303760245151,-0.0006192454642851006
879.3560757414773,0.24426557659485482,4,-0.0,-0.00029411196458161614,-0.00030981957014753115,-0.0006039315347291473
889.3717446533465,0.2470477068481518,4,-0.0,-0.0002797679085583012,-0.0003096092289885679,-0.0005893771375468691
899.387272454066,0.24982979790390722,4,-0.0,-0.00026610261814256876,-0.0003093987020832508,-0.0005755013202258196
909.402852424608,0.25261190345128,4,-0.0,-0.0002531049887318271,-0.00030918832129431457,-0.0005622933100261416
919.4183863104702,0.2553939961973528,4,-0.0,-0.00024074215826041598,-0.0003089780824625581,-0.0005497202407229741
929.4339650228815,0.25817610139524483,4,-0.0,-0.00022898323896686066,-0.0003087679875533186,-0.0005377512265201793
939.4495379759607,0.2609582049933224,4,-0.0,-0.0002177986288509247,-0.00030855803456232724,-0.0005263566634132519
949.4650428897271,0.26374028969159086,4,-0.0,-0.0002071603332600838,-0.0003083482244536942,-0.000515508557713778
959.4805402747581,0.2665223722985439,4,-0.0,-0.00019704172841913698,-0.0003081385584334344,-0.0005051802868525714
969.4805460595379,0.269300151683205,4,-0.0,-0.00018741736696855556,-0.0003079290351361904,-0.000495346402104746
979.4961339397629,0.2720822594277119,4,-0.0,-0.00017827690896642112,-0.00030771997805990734,-0.00048599688702632846
989.5114355375855,0.2748642876493293,4,-0.0,-0.00016956902489455295,-0.0003075107374925434,-0.00047707976238709637
999.5272331146328,0.2776464536429536,4,-0.0,-0.00016128670576995936,-0.0003073016451774006,-0.00046858835094735997
1009.5427654516407,0.2804285459587891,4,-0.0,-0.0001534085424142084,-0.0003070926846907016,-0.00046050122710491
1019.55830032496,0.28321063897915555,4,-0.0,-0.0001459153870392423,-0.0003068838718220674,-0.0004527992588613097
1029.573855353435,0.2859927375981764,4,-0.0,-0.00013878822893263523,-0.000306675200886452,-0.0004454634298190872
1039.5894804362372,0.28877485567673256,4,-0.0,-0.00013200917970300764,-0.0003064666714207082,-0.0004384758511237158
1049.6050253094406,0.2915569514748446,4,-0.0,-0.00012556120613325605,-0.0003062582822913422,-0.00043181948842459825
1059.6205628894957,0.29433904524708215,4,-0.0,-0.00011942823100543022,-0.0003060500365281749,-0.0004254782675336051
1069.6359062913457,0.2971210850809294,4,-0.0,-0.00011359482216237896,-0.0003058419325169024,-0.00041943675467928133
1079.6360203204874,0.29989889453346874,4,-0.0,-0.0001080464479934361,-0.00030563397404009167,-0.0004136804220335278
1089.651441962034,0.302680956100565,4,-0.0,-0.00010277690194628526,-0.0003054264728657095,-0.00040820337481199475
1099.6671606076638,0.3054631001687955,4,-0.0,-9.775687514224317e-05,-0.00030521879526058346,-0.00040297567040282665
1109.6826019482305,0.3082451672078418,4,-0.0,-9.298190804702582e-05,-0.0003050112527154683,-0.0003979931607624941
1119.682644730076,0.3110229568694655,4,-0.0,-8.84402984330868e-05,-0.0003048038570354112,-0.000393244155468498
1129.6982002196985,0.3138050556165829,4,-0.0,-8.412699618560853e-05,-0.00030459692091834855,-0.00038872391710395707
1139.7135464185085,0.3165870962273635,4,-0.0,-8.001785034034953e-05,-0.0003043898046079124,-0.0003844076549482619
1149.7137286273123,0.31936492461869787,4,-0.0,-7.61094935478568e-05,-0.0003041828334536504,-0.0003802923270015072
1159.7293051091733,0.32214702919699256,4,-0.0,-7.239752378918571e-05,-0.0003039763160808546,-0.0003763738398700403
1169.7447043600014,0.3249290845444448,4,-0.0,-6.88612915970953e-05,-0.00030376962132908043,-0.0003726309129261757
1179.7447477082562,0.3277068743634045,4,-0.0,-6.549784349350332e-05,-0.00030356307077736565,-0.00036906091427086897
1189.760469150846,0.3304890192085683,4,-0.0,-6.230346246861091e-05,-0.0003033569770378765,-0.00036566043950648743
1199.7758574093202,0.33327107150258894,4,-0.0,-5.926022828392456e-05,-0.00030315070043353097,-0.00036241092871745555
1209.7911647514368,0.33605310131984356,4,-0.0,-5.636573582687567e-05,-0.0003029445709481241,-0.00035931030677499977
1219.79134383747,0.3388309288437417,4,-0.0,-5.361264295977233e-05,-0.00030273858328559776,-0.00035635122624537007
1229.806857623314,0.34161301600647614,4,-0.0,-5.099787784351241e-05,-0.000302533046514711,-0.0003535309243582234
1239.822230558657,0.34439506404407144,4,-0.0,-4.850691921610868e-05,-0.00030232733443012755,-0.00035083425364623624
1249.8223523671577,0.3471728756575438,4,-0.0,-4.613766235742798e-05,-0.00030212176511272543,-0.0003482594274701534
1259.8379301773236,0.3499549806048121,4,-0.0,-4.388747528270531e-05,-0.00030191664828951766,-0.000345804123572223
1269.8534686896985,0.3527370746360274,4,-0.0,-4.174380634386338e-05,-0.00030171135402267215,-0.00034345516036653553
1279.8687976556253,0.3555191104598959,4,-0.0,-3.970485199342521e-05,-0.00030150620015445654,-0.0003412110521478817
1289.8689348975313,0.35829692636042537,4,-0.0,-3.7765528868126046e-05,-0.0003013011900720516,-0.00033906671894017764
1299.8845072691636,0.36107902979698986,4,-0.0,-3.592365764001712e-05,-0.0003010966300389102,-0.00033702028767892733
1309.8845418506028,0.363856817180723,4,-0.0,-3.416897961904235e-05,-0.00030089189347101984,-0.0003350608730900622
1319.9000063487963,0.3666388906524434,4,-0.0,-3.250253319886612e-05,-0.0003006876134148108,-0.00033319014661367696
1329.9155845850228,0.36942099571806186,4,-0.0,-3.091497543423554e-05,-0.0003004831571671936,-0.00033139813260142913
1339.9309372098237,0.3722030381138399,4,-0.0,-2.9404943815745022e-05,-0.0003002788376226344,-0.00032968378143837944
1349.9310339559574,0.3749808427655437,4,-0.0,-2.7968700736069695e-05,-0.0003000746616070631,-0.0003280433623431328
1359.946613720988,0.37776294825582996,4,-0.0,-2.660463823571369e-05,-0.00029987093511590646,-0.00032647557335162015
1369.9619886813705,0.38054499685593624,4,-0.0,-2.530514340027812e-05,-0.0002996670318328866,-0.0003249721752331647
1379.9621155624934,0.3833228098784704,4,-0.0,-2.4069146611546392e-05,-0.0002994632713632974,-0.00032353241797484383
1389.9777665748204,0.3861049351596723,4,-0.0,-2.2895265954627804e-05,-0.0002992599593443367,-0.00032215522529896446
1399.9931549185064,0.3888869874773629,4,-0.0,-2.177694643483817e-05,-0.000299056470059552,-0.00032083341649439016
1410.00874168095,0.39166909491137497,4,-0.0,-2.071327844803645e-05,-0.00029885312447362023,-0.0003195664029216567
1420.0240794838671,0.3944511331899631,4,-0.0,-1.970154446134438e-05,-0.0002986499131295239,-0.0003183514575908683
1430.0242322293527,0.3972289533970424,4,-0.0,-1.8739251649884976e-05,-0.00029844684500928646,-0.00031718609665917145
1440.0397613483533,0.400011044818987,4,-0.0,-1.7825313948802393e-05,-0.0002982442225400296,-0.000316069536488832
1450.0553290283103,0.40279314695230845,4,-0.0,-1.6954646624323785e-05,-0.0002980414263981354,-0.0003149960730224592
1460.055390236008,0.4055709417322244,4,-0.0,-1.612650344098661e-05,-0.00029783876737087347,-0.00031396527081186006
1470.0708539472432,0.4083530149853453,4,-0.0,-1.5339999892742758e-05,-0.00029763655958992203,-0.0003129765594826648
1480.0862979594583,0.41113508276651617,4,-0.0,-1.4590731091934736e-05,-0.00029743417795984273,-0.0003120249090517775
1490.0863228918863,0.4139128674699684,4,-0.0,-1.3878061033522872e-05,-0.00029723193433928613,-0.000311109995372809
1500.101864737556,0.4166949624270989,4,-0.0,-1.3201218364407532e-05,-0.0002970301392793189,-0.00031023135764372643
1510.1173967738157,0.4194770546593932,4,-0.0,-1.255641156051331e-05,-0.0002968281684170661,-0.0003093845799775794
1520.1327677693314,0.4222591021581476,4,-0.0,-1.1943100603123509e-05,-0.00029662633508606217,-0.0003085694356891857
1530.1328884750876,0.4250369134653021,4,-0.0,-1.1359755626145807e-05,-0.00029642464223703254,-0.00030778439786317835
1540.1344965621347,0.4278151379339263,4,-0.0,-1.0805727285154781e-05,-0.0002962233933326017,-0.0003070291206177565
1550.1484696690588,0.43059679713029414,4,-0.0,-1.0278643101669928e-05,-0.0002960222511577274,-0.0003063008942593973
1560.1638540929905,0.433378848359164,4,-0.0,-9.77666468648019e-06,-0.0002958209971434343,-0.0003055976618299145
1570.1794713763843,0.43616096427121787,4,-0.0,-9.299135786506251e-06,-0.00029561985161915107,-0.00030491898740565734
1580.1950023499994,0.4389430562083332,4,-0.0,-8.844920887402589e-06,-0.0002954188381932525,-0.0003042637590806551
1590.1950231220746,0.44172083975613186,4,-0.0,-8.412895677805067e-06,-0.00029521796318146456,-0.0003036308588592696
1600.2106208417847,0.4445029502338291,4,-0.0,-8.002593082828275e-06,-0.00029501753551900686,-0.00030302012860183516
1610.2261188784375,0.4472850330217882,4,-0.0,-7.611708363073376e-06,-0.0002948169320433173,-0.00030242864040639066
1620.2416340176492,0.4500671205604581,4,-0.0,-7.239919921212422e-06,-0.000294616466966773,-0.00030185638688798544
1630.256976918252,0.45284916025507,4,-0.0,-6.886290630573797e-06,-0.00029441613785741687,-0.0003013024284879907
1640.2571370320738,0.45562698250890943,4,-0.0,-6.549939778814426e-06,-0.0002942159484065778,-0.0003007658881853922
1650.2726732888357,0.45840907591356544,4,-0.0,-6.230490458373906e-06,-0.0002940161982437989,-0.0003002466887021728
1660.2882277759634,0.4611911743822121,4,-0.0,-5.926165483050787e-06,-0.0002938162768752334,-0.00029974244235828415
1670.3038220972167,0.46397328391589354,4,-0.0,-5.636704584644779e-06,-0.0002936164910831119,-0.0002992531956677567
1680.3193487149922,0.4667553746430534,4,-0.0,-5.361381206328233e-06,-0.0002934168403452386,-0.00029877822155156684
1690.3348973876507,0.46953747149656966,4,-0.0,-5.09950765352461e-06,-0.00029321732671232757,-0.0002983168343658522
1700.3508149983977,0.4723196708328882,4,-0.0,-4.850424627515359e-06,-0.00029301794830311585,-0.0002978683729306312
1710.366030005743,0.4751016750015953,4,-0.0,-4.613499432961418e-06,-0.0002928186981279296,-0.000297432197560891
1720.3815260925433,0.4778837572479287,4,-0.0,-4.3881625682220255e-06,-0.00029261959740436516,-0.0002970077599725872
1730.3815728843676,0.48066154802343547,4,-0.0,-4.1738259520094265e-06,-0.0002924206264763075,-0.00029659445242831694
1740.3969698244457,0.4834436027290127,4,-0.0,-3.970265129415022e-06,-0.00029222209744902554,-0.00029619236257844055
1750.3970117341205,0.4862213921483668,4,-0.0,-3.776342282397577e-06,-0.0002920233987731472,-0.00029579974105554475
1760.4125388230689,0.489003483006408,4,-0.0,-3.592167143268814e-06,-0.0002918251395268483,-0.0002954173066701171
1770.428290415686,0.49178563622657945,4,-0.0,-3.4167098163178227e-06,-0.00029162670818789924,-0.00029504341800421706
1780.4434737091124,0.49456763158586453,4,-0.0,-3.249818953060541e-06,-0.00029142840733221303,-0.0002946782262852736
1790.4592357878237,0.4973497877188399,4,-0.0,-3.0910887390060244e-06,-0.00029123025255772464,-0.0002943213412967307
1800.459273136148,0.5001275758711523,4,-0.0,-2.940102842491493e-06,-0.0002910322210773934,-0.00029397232391988493
1810.4747270981225,0.5029096464161451,4,-0.0,-2.7967118125727034e-06,-0.00029083463484720764,-0.00029363134665978034
1820.4900447107973,0.5056916790863326,4,-0.0,-2.660109013907876e-06,-0.00029063687846173764,-0.0002932969874756455
1830.4901859777192,0.508469496104922,4,-0.0,-2.5301801773873443e-06,-0.00029043925923250555,-0.0002929694394098929
1840.5058217020023,0.5112516171394451,4,-0.0,-2.406780134025846e-06,-0.0002902420735247922,-0.000292648853658818
1850.5213091723613,0.5140336969923226,4,-0.0,-2.2892211066423086e-06,-0.00029004471647788157,-0.0002923339375845239
1860.5368516897024,0.5168157921360285,4,-0.0,-2.177405856753641e-06,-0.000289847496546969,-0.00029202490240372265
1870.5521815428367,0.5195978282063435,4,-0.0,-2.0710515669951953e-06,-0.0002896504096356339,-0.00029172146120262914
1880.5675329496069,0.5223798702637796,4,-0.0,-1.9698941934533477e-06,-0.0002894534609175774,-0.0002914233551110307
1890.5677918542656,0.5251577199595182,4,-0.0,-1.8736774965186745e-06,-0.0002892566456920145,-0.0002911303231885332
1900.567808400826,0.5279355023335628,4,-0.0,-1.782294859489155e-06,-0.0002890602605776928,-0.00029084255543718196
1910.5834829517275,0.5307176341532577,4,-0.0,-1.6953711732191258e-06,-0.0002888640135497674,-0.0002905593847229865
1920.5989293649177,0.533499702601366,4,-0.0,-1.6125605596504358e-06,-0.0002886675927865476,-0.000290280153346198
1930.614624216336,0.5362818400600934,4,-0.0,-1.5337965902744484e-06,-0.0002884713100543688,-0.00029000510664464323
1940.6298210584778,0.5390638391829105,4,-0.0,-1.4588779590113038e-06,-0.0002882751559228838,-0.0002897340338818951
1950.630008740903,0.5418416690946952,4,-0.0,-1.3876221999831632e-06,-0.0002880791449152876,-0.00028946676711527077
