component,pearson_r,mae_W,mape_pct,obs_mean_W,pred_mean_W
total,0.9036445235444801,0.5342854175595163,25.315006059374344,2.411574725739573,2.7703400633881863
screen,0.636140660504289,0.08812666328666587,26.348989530690208,0.34409433237082077,0.3313319287433276
cpu,0.8747893184671467,0.3687064123532127,36.984390559963344,1.1904084951217824,1.2515014715387602
gpu,0.9621319156212136,0.02452554276200248,13.734513931894341,0.23730467176604797,0.2422619732875252
radio,0.13483312357422703,0.03900707846819683,18.182456274939284,0.21816377708365967,0.18127986400352517
gps,nan,0.000497758391643668,100.0,0.000497758391643668,0.0
background,0.8609957367747755,0.05508001115606908,21.88989275568814,0.24166373808037184,0.26803655952322525
base,nan,0.06825138144996944,18.266149906912784,0.3666089815865023,0.34999999999999976
other,nan,0.0,nan,0.0,0.0
