test_id,duration_s,soc0,temp_c,brightness_nits,cpu_load,gpu_load,gps_on,obs_total_w,obs_screen_w,obs_cpu_w,obs_gpu_w,obs_radio_w,obs_gps_w,obs_background_w,obs_base_w,obs_other_w,pred_base_w,pred_screen_w,pred_cpu_w,pred_gpu_w,pred_radio_w,pred_gps_w,pred_background_w,pred_interaction_w,pred_other_w,pred_total_w
993.0,29.341490873862675,0.56,44.6373,310.0,0.6850928630577184,0.9549288888888889,0.0,3.63647441974558,0.23666386114089127,2.1195188238419074,0.43895736436514915,0.2220920186014881,0.0005224790463237059,0.3348549068405472,0.5618000763661093,0.0,0.3499999999999998,0.3823840352928164,1.9794768472532094,0.35541187503820676,0.20149367680128627,0.0,0.46278053666775476,0.14999999999999997,0.0,3.881546971053274
872.0,32.87643833450487,0.64,44.5597,55.0,0.42185288270918303,0.6839088888888889,0.0,1.9398128943020878,0.1446992693847762,0.9363006906350588,0.22321002802393392,0.26508930225962324,0.0004644020374157389,0.20467905028402636,0.3223870028628772,0.0,0.34999999999999976,0.1881031821524939,1.2188829563087995,0.2545418233583038,0.032958054688634116,0.0,0.25228126901207804,0.00744362452028504,0.0,2.3042109100405943
367.0,34.69518095413421,0.87,44.561142857142855,405.0,0.3138679305401063,0.4339811111111111,0.0,1.549350472362781,0.3039550750364901,0.572502684419429,0.1218404957370576,0.2562975751369685,0.0004973720459198597,0.16614914485960805,0.24670185480062862,0.0,0.34999999999999976,0.4547631766588188,0.9068760384197361,0.1615220172159973,0.220454755097931,0.0,0.1214411223295276,0.15000000000000002,0.0,2.3650571097220094
597.0,33.50962818856258,0.43,44.736,445.0,0.4348343626251391,0.6859611111111111,0.0,2.92624813525889,0.31224696913507766,1.6343985945889619,0.2733351308969111,0.19844574328541095,0.0004900699813918869,0.326513102337179,0.44853686935357817,0.0,0.34999999999999976,0.485238604602399,1.2563910669932812,0.25530563326758765,0.18642604612746214,0.0,0.46044475928024314,0.15000000000000002,0.0,3.143806110270976
703.0,30.698650175175032,0.48,45.6335,395.0,0.4301739121863799,0.7049133333333333,0.0,2.4753271745299705,0.6419715825931447,0.9530329336043893,0.2547894182622084,0.21549453213343303,0.0004960709723263984,0.22634948713434128,0.3480239863577152,0.0,0.3499999999999998,0.44714431967292423,1.2429253687810415,0.2623593991704902,0.03453343274488997,0.0,0.2524431041616498,0.012068275006020295,0.0,2.601473899537016
973.0,33.08971665811889,0.65,46.30028571428572,235.0,0.4309851806328019,0.7093333333333334,0.0,2.905751566065723,0.5154996577412583,1.4590835482939633,0.25595711354654865,0.21903589533791032,0.0004790818417007236,0.2963285830227588,0.4023516125159355,0.0,0.34999999999999976,0.32524260789860376,1.2452694117468828,0.2640044645842056,0.19880347035981555,0.0,0.25302208692305206,0.15,0.0,2.786342041512561
122.0,29.958781260423425,0.37,44.962833333333336,485.0,0.3701298550241009,0.7262755555555556,0.0,1.7806864550419301,0.2229207667357171,0.6873321844914732,0.2777717851906641,0.19452326130240563,0.0004906840729783037,0.23936870728961204,0.34004386002876513,0.0,0.3499999999999998,0.5157140325459791,1.0694367406301066,0.27031013512928675,0.18438375788930533,0.0,0.25333791949447904,0.14999999999999997,0.0,2.7931825856891574
306.0,34.509662321821104,0.54,45.59144444444445,290.0,0.4428509765789148,0.7329911111111111,0.0,2.47877974586585,0.6564177444236322,0.9746955343509264,0.23289746026297872,0.22957064388158652,0.0004784939056286052,0.21202425167138406,0.3327460279408076,0.0,0.34999999999999976,0.3671463213210266,1.2795539147918125,0.272809575893615,0.20988596325374864,0.0,0.2550710435346492,0.15,0.0,2.8844668187948526
374.0,24.520927866562737,0.84,44.576375,100.0,0.21668997688790012,0.10746777777777777,0.0,0.9855182125042271,0.21663556812650997,0.26867272011844234,0.02453861461452514,0.22408317347747903,0.00047367280446927365,0.12491862128491618,0.20447067216045586,0.0,0.34999999999999987,0.2223880385890214,0.626094381376287,0.03999808242332226,0.2034345347054237,0.0,0.12000000000000006,0.14999999999999997,0.0,1.7119150370940541
734.0,30.00195851795184,0.3,46.377272727272725,335.0,0.43051477641824254,0.70035,0.0,3.1117508526697795,0.5794230591677069,1.5696575407188411,0.26036504269245386,0.2248488369876411,0.00048148117055867566,0.30852990369494526,0.418779633053174,0.0,0.34999999999999976,0.4014311777575538,1.2439102467317726,0.2606609869899649,0.042105992014269886,0.0,0.4616659050705163,0.029002513267295554,0.0,2.7887768218313735
