scenario_id,model,n_samples,q05_h,q25_h,q50_h,q75_h,q95_h
S1_standby_light,model0,120,28.351489982712923,31.766695357067697,34.717341325330466,37.33879547127612,41.62881470909276
S1_standby_light,model1,120,27.024313329370845,30.386943350627362,33.264443171415024,35.6438184703677,39.79361550606751
S2_browse_social,model0,120,7.0317060782044365,8.082568338133624,8.942683685745106,9.612719087869463,10.8222429148858
S2_browse_social,model1,120,6.579166666666667,7.586041833968391,8.384636608731046,9.022445890484317,10.254145637924571
S3_video_streaming,model0,120,5.518508447781646,6.330434425655179,6.875375492361808,7.761558239184423,8.749621629959517
S3_video_streaming,model1,120,5.1388141185890275,5.905699344172234,6.425944616219239,7.256221288318291,8.166384629512415
S4_gaming,model0,120,2.132807986138728,2.430761298868598,2.650185457268172,2.9420932068439347,3.2998212352376215
S4_gaming,model1,120,1.87014491942863,2.181182818792499,2.3895695006315147,2.636418634674733,2.9938667560959664
S5_nav_call,model0,120,3.187965796269014,3.628312507270156,4.050910749261646,4.374110186939198,4.873467861407111
S5_nav_call,model1,120,2.8827691557052484,3.3235592671712855,3.6992936181763945,4.0207047439117485,4.519262012389729
