t_s,t_h,soc,v_term_V,p_W,p_max_W,v1_V,status,scenario_id,seed
0.0,0.0,1.0,4.1205358719535425,4.092934876861699,55.125,0.0,cutoff,S3_gaming,1
2.0,0.0005555555555555556,0.9998620200517058,4.119266179955951,4.092934876861699,55.09232387871267,0.0009690292474491347,cutoff,S3_gaming,1
4.0,0.0011111111111111111,0.9997239983815619,4.118044503246238,4.092934876861699,55.0608874193649,0.0018910913481692375,cutoff,S3_gaming,1
6.0,0.0016666666666666668,0.9995859365276107,4.116868297486756,4.092934876861699,55.030629855498105,0.002768466117396142,cutoff,S3_gaming,1
8.0,0.0022222222222222222,0.9994478359546751,4.115735355315662,4.092934876861699,55.00149342300985,0.0036033226965867995,cutoff,S3_gaming,1
10.0,0.002777777777777778,0.9993096980577781,4.114643576455488,4.092934876861699,54.97342320958589,0.00439772492702844,cutoff,S3_gaming,1
12.0,0.0033333333333333335,0.9991715241654096,4.113590962520274,4.092934876861699,54.94636701189048,0.005153636462455064,cutoff,S3_gaming,1
14.0,0.0038888888888888888,0.9990333155426441,4.112575612074319,4.092934876861699,54.92027520009627,0.005872925633355155,cutoff,S3_gaming,1
16.0,0.0044444444444444444,0.9988950733941183,4.111595715930406,4.092934876861699,54.8951005893595,0.006557370075037439,cutoff,S3_gaming,1
18.0,0.005,0.9987567988668726,4.110649552675866,4.092934876861699,54.870798317868385,0.007208661130934469,cutoff,S3_gaming,1
20.0,0.005555555555555556,0.9986184930530626,4.109735484415489,4.092934876861699,54.84732573111478,0.007828408042065395,cutoff,S3_gaming,1
22.0,0.006111111111111111,0.998480156992547,4.1088519527207765,4.092934876861699,54.82464227205771,0.00841814193304806,cutoff,S3_gaming,1
24.0,0.006666666666666667,0.9983417916753566,4.1079974747755506,4.092934876861699,54.80270937686824,0.00897931960454527,cutoff,S3_gaming,1
26.0,0.007222222222222222,0.9982033980440495,4.107170639708374,4.092934876861699,54.78149037596022,0.0095133271415494,cutoff,S3_gaming,1
28.0,0.0077777777777777776,0.998064976995957,4.106370105102815,4.092934876861699,54.76095040003028,0.010021483346452156,cutoff,S3_gaming,1
30.0,0.008333333333333333,0.9979265293853271,4.10559459367686,4.092934876861699,54.74105629084395,0.01050504300541137,cutoff,S3_gaming,1
32.0,0.008888888888888889,0.9977880560253671,4.104842890123327,4.092934876861699,54.721776516520656,0.010965199996112828,cutoff,S3_gaming,1
34.0,0.009444444444444445,0.9976495576901921,4.104113838103485,4.092934876861699,54.703081091083604,0.011403090244631493,cutoff,S3_gaming,1
36.0,0.01,0.9975110351166824,4.103406337386439,4.092934876861699,54.684941498052616,0.01181979453872192,cutoff,S3_gaming,1
38.0,0.010555555555555556,0.9973724890062542,4.102719341127218,4.092934876861699,54.667330617871755,0.01221634120451142,cutoff,S3_gaming,1
40.0,0.011111111111111112,0.9972339200265483,4.102051853276863,4.092934876861699,54.65022265897309,0.012593708653230602,cutoff,S3_gaming,1
42.0,0.011666666666666667,0.9970953288130388,4.101402926118118,4.092934876861699,54.63359309228996,0.012952827804293385,cutoff,S3_gaming,1
44.0,0.012222222222222223,0.9969567159705662,4.100771657920606,4.092934876861699,54.61741858904264,0.013294584390731926,cutoff,S3_gaming,1
46.0,0.012777777777777779,0.9968180820748002,4.100157190709745,4.092934876861699,54.601676961628684,0.013619821152699997,cutoff,S3_gaming,1
48.0,0.013333333333333334,0.9966794276736309,4.099558708143861,4.092934876861699,54.58634710745971,0.013929339924480737,cutoff,S3_gaming,1
50.0,0.013888888888888888,0.9965407532884976,4.0989754334942665,4.092934876861699,54.57140895559391,0.014223903620170572,cutoff,S3_gaming,1
