t_s,t_h,soc,ocv_V,v1_V,i_A,v_term_V,p_W,p_max_W,discriminant,scenario_id,status
0.0,0.0,1.0,4.2,0.0,1.3941656748360203,4.088466746013118,5.7,55.125,15.816,S3_gaming,cutoff
2.0,0.0005555555555555556,0.999806323049417,4.199612646098834,0.0013601884534250185,1.3947785753766984,4.086669871082089,5.7,55.07913655664286,15.801323698125715,S3_gaming,cutoff
4.0,0.0011111111111111111,0.9996125625472714,4.199225125094543,0.002654626424776014,1.39536899786942,4.084940692861242,5.7,55.035012344704434,15.78720395030542,S3_gaming,cutoff
6.0,0.0016666666666666668,0.9994187215414686,4.198837443082938,0.003886499201710379,1.395938000324265,4.083275631725747,5.7,54.992541942406234,15.773613421569996,S3_gaming,cutoff
8.0,0.0022222222222222222,0.999224802936354,4.198449605872708,0.005058837731602952,1.3964865923539653,4.081671581802026,5.7,54.95164416978451,15.760526134331043,S3_gaming,cutoff
10.0,0.002777777777777778,0.9990308094992881,4.198061618998576,0.0061745261026374485,1.3970157372649061,4.080125587504576,5.7,54.91224187371113,15.747917399587562,S3_gaming,cutoff
12.0,0.0033333333333333335,0.998836743866938,4.197673487733876,0.007236308662041557,1.3975263540694893,4.078634836269414,5.7,54.87426172421099,15.735763751747518,S3_gaming,cutoff
14.0,0.0038888888888888888,0.9986426085512935,4.197285217102587,0.008246796789086602,1.3980193194217172,4.077196651638332,5.7,54.837634021445716,15.724042886862629,S3_gaming,cutoff
16.0,0.0044444444444444444,0.9984484059454205,4.196896811890841,0.009208475339615111,1.39849546947782,4.0758084866771,5.7,54.80229251277243,15.712733604087179,S3_gaming,cutoff
18.0,0.005,0.9982541383289605,4.196508276657921,0.010123708778043904,1.398955601683907,4.074467917711524,5.7,54.76817421932122,15.70181575018279,S3_gaming,cutoff
20.0,0.005555555555555556,0.998059807873387,4.196119615746774,0.010994747012014507,1.3994004764926404,4.073172638366034,5.7,54.73521927156919,15.691270166902141,S3_gaming,cutoff
22.0,0.006111111111111111,0.9978654166470284,4.195730833294057,0.011823730944124708,1.3998308190109499,4.071920453890246,5.7,54.7033707534194,15.681078641094208,S3_gaming,cutoff
24.0,0.006666666666666667,0.9976709666198667,4.1953419332397335,0.012612697754473125,1.4002473205808719,4.070709275759604,5.7,54.672574554322225,15.671223857383113,S3_gaming,cutoff
26.0,0.007222222222222222,0.9974764596681204,4.194952919336241,0.013363585927080994,1.4006506402956114,4.069537116536903,5.7,54.642779229003935,15.66168935328126,S3_gaming,cutoff
28.0,0.0077777777777777776,0.9972818975786227,4.194563795157245,0.014078240032620239,1.4010414064528491,4.068402084982098,5.7,54.613935864392644,15.652459476605648,S3_gaming,cutoff
30.0,0.008333333333333333,0.9970872820530009,4.194174564106002,0.014758415279272744,1.4014202179474244,4.067302381398443,5.7,54.58599795335516,15.643519345073651,S3_gaming,cutoff
32.0,0.008888888888888889,0.9968926147116665,4.193785229423333,0.015405781842971075,1.4017876456054206,4.0662362932035565,5.7,54.55892127488116,15.63485480796197,S3_gaming,cutoff
34.0,0.009444444444444445,0.9966978970976248,4.19339579419525,0.016021928987724185,1.4021442334617134,4.065202190714551,5.7,54.532663780371436,15.62645240971886,S3_gaming,cutoff
36.0,0.01,0.9965031306801101,4.19300626136022,0.016608368986211618,1.4024904999829584,4.064198523136919,5.7,54.50718548570643,15.618299355426059,S3_gaming,cutoff
38.0,0.010555555555555556,0.9963083168580549,4.19261663371611,0.01716654085033502,1.4028269392380581,4.063223814747323,5.7,54.48244836879004,15.610383478012812,S3_gaming,cutoff
40.0,0.011111111111111112,0.9961134569634001,4.192226913926801,0.017697813880945126,1.4031540220179743,4.062276661260939,5.7,54.458416272280196,15.602693207129663,S3_gaming,cutoff
42.0,0.011666666666666667,0.9959185522642537,4.191837104528507,0.018203491045514723,1.4034721969068464,4.061355726374462,5.7,54.435054811234686,15.5952175395951,S3_gaming,cutoff
44.0,0.012222222222222223,0.9957236039679025,4.191447207935805,0.018684812192102142,1.4037818913062632,4.060459738476245,5.7,54.41233128541476,15.587946011332724,S3_gaming,cutoff
46.0,0.012777777777777779,0.9955286132236862,4.191057226447373,0.019142957107544704,1.404083512414475,4.059587487515563,5.7,54.39021459600397,15.580868670721271,S3_gaming,cutoff
48.0,0.013333333333333334,0.9953335811257379,4.190667162251476,0.01957904842743604,1.404377448162361,4.058737822023265,5.7,54.36867516651309,15.57397605328419,S3_gaming,cutoff
50.0,0.013888888888888888,0.9951385087155972,4.190277017431194,0.01999415440507453,1.404664068107836,4.057909646276537,5.7,54.347684867654166,15.567259157649334,S3_gaming,cutoff
52.0,0.014444444444444444,0.9949433969847026,4.189886793969405,0.020389291546221204,1.4049437242903695,4.057101917600787,5.7,54.32721694597865,15.560709422713169,S3_gaming,cutoff
54.0,0.015,0.9947482468767673,4.189496493753534,0.02076542711617357,1.405216752047278,4.056313643802056,5.7,54.307245956085836,15.554318705947468,S3_gaming,cutoff
56.0,0.015555555555555555,0.9945530592900446,4.189106118580089,0.02112348152534604,1.405483470793284,4.055543880723632,5.7,54.28774769621815,15.548079262789807,S3_gaming,cutoff
58.0,0.01611111111111111,0.9943578350794867,4.188715670158974,0.021464330599247242,1.405744184764951,4.054791729920853,5.7,54.268699147069796,15.541983727062336,S3_gaming,cutoff
60.0,0.016666666666666666,0.9941625750588039,4.188325150117608,0.021788807738458652,1.4059991837313934,4.054056336448419,5.7,54.25007841364444,15.536025092366222,S3_gaming,cutoff
62.0,0.017222222222222222,0.9939672800024256,4.187934560004852,0.022097705973947095,1.4062487436727222,4.053336886754747,5.7,54.231864670006566,15.530196694402102,S3_gaming,cutoff
64.0,0.017777777777777778,0.9937719506473709,4.187543901294742,0.022391779922784925,1.4064931274275827,4.052632606678215,5.7,54.21403810677911,15.524492194169314,S3_gaming,cutoff
66.0,0.018333333333333333,0.9935765876950301,4.18715317539006,0.022671747649105567,1.406732585311099,4.0519427595403545,5.7,54.19657988124794,15.518905561999341,S3_gaming,cutoff
68.0,0.01888888888888889,0.9933811918128628,4.186762383625726,0.022938292434887927,1.406967355704497,4.051266644331303,5.7,54.17947206994127,15.513431062381207,S3_gaming,cutoff
70.0,0.019444444444444445,0.9931857636360163,4.1863715272720325,0.023192064464940335,1.4071976656176766,4.050603593983084,5.7,54.1626976235586,15.508063239538751,S3_gaming,cutoff
72.0,0.02,0.9929903037688671,4.185980607537735,0.02343368243024276,1.4074237312258346,4.049952973726423,5.7,54.14624032413073,15.502796903721835,S3_gaming,cutoff
74.0,0.020555555555555556,0.9927948127864902,4.18558962557298,0.023663735053604258,1.4076457583813484,4.0493141795271095,5.7,54.130084744298436,15.4976271181755,S3_gaming,cutoff
76.0,0.021111111111111112,0.9925992912360582,4.1851985824721165,0.023882782541400804,1.4078639431019557,4.048686636598003,5.7,54.11421620860316,15.492549186753012,S3_gaming,cutoff
78.0,0.021666666666666667,0.9924037396381751,4.18480747927635,0.024091357964975996,1.4080784720363115,4.048069797983084,5.7,54.09862075668864,15.487558642140366,S3_gaming,cutoff
80.0,0.022222222222222223,0.9922081584881463,4.184416316976293,0.02428996857511345,1.408289522907921,4.047463143210016,5.7,54.083285108317924,15.482651234661736,S3_gaming,cutoff
82.0,0.02277777777777778,0.9920125482571883,4.184025096514377,0.024479097052824403,1.4084972649384158,4.04686617700793,5.7,54.068196630114386,15.477822921636603,S3_gaming,cutoff
84.0,0.023333333333333334,0.991816909393582,4.183633818787165,0.024659202699536777,1.4087018592510547,4.0462784280872715,5.7,54.05334330394135,15.473069857261232,S3_gaming,cutoff
86.0,0.02388888888888889,0.9916212423237698,4.18324248464754,0.024830722569622293,1.4089034592554561,4.045699447978713,5.7,54.038713696837405,15.46838838298797,S3_gaming,cutoff
88.0,0.024444444444444446,0.9914255474534015,4.182851094906804,0.02499407254805591,1.409102211014246,4.045128809928255,5.7,54.02429693243109,15.46377501837795,S3_gaming,cutoff
90.0,0.025,0.9912298251683306,4.182459650336661,0.02514964837586634,1.4092982535925835,4.044566107845821,5.7,54.01008266376018,15.459226452403259,S3_gaming,cutoff
92.0,0.025555555555555557,0.9910340758355622,4.182068151671125,0.025297826625907585,1.409491719391273,4.04401095530475,5.7,53.99606104742662,15.45473953517652,S3_gaming,cutoff
94.0,0.026111111111111113,0.990838299804157,4.1816765996083145,0.02543896563135863,1.4096827344642153,4.043462984589707,5.7,53.9822227190199,15.450311270086369,S3_gaming,cutoff
