loss,s_on,s1_screen,s1_cpu,s1_gpu,s1_wifi,s1_p,s3_wifi_min,s4_cpu_min,s4_gpu_min,s4_p_min,s5_wifi_max,s5_infra_min,s5_p_min,s2_p_max,S1_standby_light_n,S2_browse_social_n,S3_video_streaming_n,S4_gaming_n,S5_nav_call_n,S1_standby_light_tte_med,S2_browse_social_tte_med,S3_video_streaming_tte_med,S4_gaming_tte_med,S5_nav_call_tte_med
0.13304110970643374,0.4290428653328753,0.3462391776515633,0.3377653215674687,0.12740504509332312,0.6187688077512044,0.12228255871782559,0.7459435965124344,0.8010612078429009,0.7942685409578144,0.9835986406472398,0.3194732307259234,0.8442205519272322,0.9185916119569938,0.4263071732411716,8,64,83,9,11,11.622301579180029,8.064999315182593,6.821275634368083,2.4894732596976987,3.8707637415747866
0.13472006245212892,0.3833114967734533,0.3430296983321405,0.34716199948082305,0.1083495583508908,0.5667332860676197,0.18294259690439646,0.7807183568348589,0.9772136720992894,0.7247028033569106,0.9886918686407198,0.32954281402023644,0.7348173994651348,0.9356697214493825,0.4347784495990525,9,75,79,8,10,11.496527143868999,8.078862320081358,7.019483468395793,2.431950175958086,3.772011831041246
0.15310459475807178,0.4172199215898055,0.3411578584675769,0.21407856921231316,0.3333912342323742,0.5015279986341774,0.2381338208263048,0.7382530690680041,0.9429583013211411,0.9250322942664172,0.9843518485624754,0.38800411654093625,0.7538508301365695,0.9189842974293573,0.43956960557111846,8,68,87,8,18,11.307635212172226,8.064999315182593,6.838815820871985,2.6362525487751483,3.9378225131396665
0.16323770997515982,0.38468821602193964,0.3491808117590981,0.3244497042411233,0.1795734791690302,0.5154253758815579,0.15047188955771607,0.8318223103386833,0.8492108567581345,0.8142395386919034,0.98578609686172,0.2086230164874544,0.8083123096320871,0.8847963541949905,0.47510181995407696,9,97,64,8,11,11.118743280475451,7.961539872633147,6.796253486647764,2.6362525487751483,4.045988752735764
0.16406662885979031,0.44454971191672416,0.3450924119175619,0.17700104464520924,0.351708121364256,0.6571368996397606,0.20953774702553532,0.8231124660383583,0.9122298066315147,0.9127284285513118,0.9747773229145311,0.433083596222934,0.8053836684490625,0.9296924435323598,0.3149032676788115,9,40,58,10,17,11.496527143868999,8.470025626448281,6.748704970296804,2.8191611952953908,3.7693151766319244
0.17379960042625148,0.42586437703350455,0.3409831134410387,0.18753264391591232,0.2723139105223866,0.5683848744580701,0.08078937808909305,0.7065232419036646,0.9129440595146371,0.8950121142145663,0.97676408944507,0.377955884956645,0.8317294331356322,0.9180613672310413,0.4604317898423091,8,69,93,11,14,11.622301579180029,7.968636013913506,6.740614218365147,2.855290552738184,3.9378225131396665
0.17420416663614055,0.42649677825890425,0.2446156345805879,0.3497539981678862,0.25583852800125756,0.6021894282912438,0.12246317822180933,0.7993052191280074,0.9362983694960524,0.7367445702028625,0.9862373859768373,0.21837473965139825,0.8652938435302671,0.8822968182742481,0.4724270043169767,9,80,69,9,10,10.274906262064784,7.952152156101631,6.821275634368083,2.4894732596976987,4.049792166966487
0.17438147468030585,0.38697175778931864,0.3357465908592778,0.32050447815929856,0.262402719492922,0.6131585559597132,0.23878472725188957,0.73286591949141,0.883472679890638,0.7736139718348,0.9842223212364716,0.38902016655736926,0.7429949106066713,0.9023769791314747,0.37474993371205295,13,55,94,9,23,10.329257474352229,8.33783501995364,7.025893358532434,2.4894732596976987,4.05359558119721
0.17553519777590082,0.43768280134132276,0.3027387382121931,0.3491684864484314,0.24352896842760063,0.6781673745976697,0.18022743879257777,0.725724102449749,0.8413965619205319,0.8068255697887464,0.9863739442357896,0.30704527855851593,0.7026791565027732,0.923916284003312,0.3209961139234188,12,40,84,8,10,10.302081868208507,8.541542903047764,6.748704970296804,2.6362525487751483,3.9378225131396665
0.17606157560022923,0.398039596887067,0.3460294273250635,0.17461977509605875,0.3712752090322063,0.6221332241196735,0.08064781192843849,0.7006573002511776,0.9695400644325729,0.7799430914125507,0.9437069516928767,0.3347373619223357,0.7805256597285779,0.924342820726881,0.26036926767473745,8,27,100,14,13,11.622301579180029,8.80798630558112,6.796253486647764,2.877112551982208,3.8707637415747866
