phone_test_id,cpu_load,gpu_load,obs_cpu_w,obs_gpu_w
-1,0.9601354695340502,0.9844655555555556,4.554146475690399,0.4536255937392616
1,0.593107329810901,0.92086,2.446225965110628,0.40048342663085185
10,0.42862732431096273,0.5098211111111111,1.4293390040932437,0.15718015955429113
100,0.40860287430478304,0.7027044444444445,0.9484719175261918,0.277711572370933
101,0.3340899579780003,0.6569233333333333,0.6601688329030952,0.2035016893842544
102,0.3704215380669881,0.70633,0.7129650233977457,0.2498531940899392
103,0.45036898331479425,0.6989122222222223,1.6497746405288283,0.2689380000660987
104,0.44412640557409466,0.6851644444444445,1.11134102302642,0.2721783740636741
105,0.3445784872080089,0.6570255555555555,0.6707671656062173,0.20148634901615492
106,0.43047930515387467,0.49242444444444444,1.4495254358932141,0.14852970488474204
107,0.40676092602892105,0.7565844444444444,0.9345517325824885,0.2523330810612381
108,0.3652618125695217,0.7385955555555556,0.6643372276630614,0.2635088693884984
109,0.37413155907798784,0.7334966666666667,0.7051376064792462,0.2708946544604961
11,0.39280382981090095,0.2625,0.694554172164297,0.07562756503555439
110,0.4887072143121987,0.7636188888888888,1.1867658584080767,0.28724402672327887
111,0.44075015572858733,0.69532,1.796897690244586,0.24656531985270577
112,0.4145706098133729,0.68062,0.9150679357344326,0.2200479058838844
113,0.4390201447287109,0.7522155555555555,0.9814950936972343,0.2842776756914119
114,0.43799429365962184,0.7071055555555555,1.637399083399112,0.22681969926413154
115,0.41952259974045236,0.68503,0.9185704115895678,0.263323681027984
116,0.42764382523791866,0.7437255555555555,1.0823961276535239,0.259870688963185
117,0.4284048453837598,0.71747,1.6040717629666623,0.2580689334748408
118,0.4066323987764182,0.68753,0.911013174010067,0.22726050498720693
119,0.3362293778272154,0.6682977777777778,0.631872271648242,0.21555986501537694
12,0.31258779032258066,0.4144833333333333,0.5876612929883511,0.11534597599044098
120,0.32990615727351374,0.6657566666666667,0.6030680185359357,0.24661878520830735
121,0.43421805796564084,0.7274944444444444,0.9874338455674715,0.25908714985919834
122,0.3701298550241009,0.7262755555555556,0.6873321844914732,0.2777717851906641
123,0.4426406677790137,0.77,0.9908497836478503,0.29559196630153844
124,0.44201406365097023,0.8001111111111111,0.9471970659290403,0.2701457499409943
125,0.2633623320973921,0.24489222222222223,0.42020931406712736,0.06737709795696802
126,0.21482578074403658,0.15386111111111112,0.2727021998714712,0.034707352739788894
127,0.8043737441601779,0.9106088888888889,3.0145629877183233,0.3822943969753503
128,0.44541019657644293,0.7395077777777778,1.1123559775483145,0.2665685680311734
129,0.4100594585959708,0.6931833333333334,0.9239864131728385,0.2450654904379124
13,0.514975966197009,0.9320855555555555,1.4092844056610228,0.3906439817412127
130,0.34141011939191696,0.7073244444444444,0.6065388541227458,0.2302150712381092
131,0.4226891212458287,0.6159011111111111,1.5283852194339491,0.19975448737746407
132,0.41583753503893217,0.6573022222222222,1.5052669642234047,0.23392478864919647
133,0.4332524315906563,0.6780433333333333,1.5003777639415392,0.2235214289107102
134,0.4119761588802373,0.2973622222222222,0.9293582061353096,0.09131589302841743
135,0.3985642945247806,0.7220766666666667,0.8994114637512982,0.2411097904584527
136,0.3415691827339019,0.6607333333333333,0.6585474130248354,0.19471560602302174
137,0.333417119515511,0.6727888888888889,0.5877937455594797,0.22535449622706522
138,0.45012084760845383,0.7242866666666666,1.1210204276064244,0.25473696496675885
139,0.32104614806575205,0.5911122222222223,0.5564133703601744,0.16367625676109643
14,0.34456432801878634,0.6580422222222222,0.6635227030053429,0.2128403746725539
140,0.3371149917191942,0.6751,0.616609367316408,0.2202870018719139
141,0.34333795235446796,0.6934611111111111,0.618004445414462,0.23127842802763077
142,0.4372113702879743,0.6739444444444445,1.5569751015123374,0.256490381337174
143,0.3373082481769868,0.7213011111111111,0.6454645518782187,0.2350079423918806
144,0.33392898312940306,0.6722777777777778,0.6025297466371027,0.23022632144731492
145,0.45065501464590285,0.69942,1.084150865774756,0.22874270601308624
146,0.3452496814979607,0.6675044444444445,0.6572467042904291,0.21223002298625465
147,0.4445682246941046,0.7319155555555555,1.702310158652325,0.270627998054567
148,0.4050632538623162,0.35359444444444443,0.7741681289335759,0.09977952546251737
149,0.46098051872450874,0.7671233333333334,1.1044237011504763,0.2653976173929606
15,0.5645298988382152,0.5614055555555556,1.4338620955513066,0.1660054717175151
150,0.6267445412186379,0.97331,3.192400635291905,0.42783573385749757
151,0.7822455502410085,0.91903,3.6876241526863307,0.4022648167979452
152,0.8425395234828821,0.9727533333333334,3.6036922758200047,0.45081905681139633
153,0.465592927079471,0.2852866666666667,1.2574769013087594,0.08562046978128361
154,0.7480531902113459,0.9012788888888889,4.659250298170856,0.4185775374373599
155,0.45027286064763317,0.3287388888888889,1.0972711593262459,0.09586716000920598
156,0.49235050030898525,0.8388166666666667,1.4047854735019973,0.3113050644497229
157,0.7338412508960573,0.9250322222222223,2.6979421511962527,0.3741012151820752
158,0.49765620949202816,0.9117955555555556,1.3411064123702177,0.39012684005979076
159,0.6173862709183042,0.6934411111111111,1.6392715343242497,0.24078152166492317
16,0.4335005005561735,0.6907144444444444,1.6765270634952594,0.2565818395502978
160,0.4662886071560993,0.8548588888888888,1.1237536059631839,0.3139050566539501
161,0.47167680435051285,0.92241,1.4203095110219273,0.38301486233718857
162,0.39426156834754666,0.7294677777777778,1.072164792071663,0.26516183214300193
163,0.6787375291682115,0.9178311111111112,2.398967011466005,0.3961325056841762
164,0.6126789497589915,0.9178755555555556,1.6278002595422747,0.3796512342392337
165,0.25573026622172784,0.2632,0.41351172651131374,0.07501061118993328
166,0.4969550302187616,0.898,1.5657044321778224,0.343035420538678
167,0.6481477858113953,0.9571533333333333,2.27703927773075,0.42022762089077
168,0.3323560315164998,0.6799922222222222,0.6504188787890762,0.24696560882108837
169,0.4689930566679026,0.8870322222222222,1.151560620614859,0.35799074340734416
17,0.4304320177975528,0.6860555555555555,1.5287555750407962,0.22070503744135767
170,0.4055495381287851,0.5383611111111111,0.8444050621812016,0.14684749784508735
171,0.2713166965146459,0.2925211111111111,0.46789406743132816,0.08421127590349581
172,0.5390679178717094,0.9467011111111111,1.7910544813087714,0.42754306227840294
173,0.36823910845383756,0.5450277777777778,0.7835431111994364,0.1555782173392372
174,0.622639541156841,0.7384566666666667,1.7204173855665295,0.26965447760799405
175,0.4678363796811272,0.86046,1.1202068188319732,0.33097934374092114
176,0.48606289890001236,0.9039133333333333,1.2108818624220998,0.3671033237032987
177,0.42618194883203564,0.6939166666666666,1.690099657792181,0.2520778421686747
178,0.33994530533926587,0.7208622222222222,0.6464776870832574,0.2415559390781563
179,0.4289290808305524,0.7179455555555555,0.9220400425183903,0.23753542757128637
18,0.406233475775553,0.6830588888888889,0.9522840256517286,0.28292253601606493
180,0.43693644283772093,0.6535455555555556,0.9518189199358924,0.2257100660177475
181,0.5739615350389321,0.8912433333333334,2.4489768747597505,0.34969870568362993
182,0.33070228766530707,0.6402844444444444,0.6471740326596394,0.20789225852426169
183,0.3317416883574342,0.65719,0.6173634699943743,0.19685150196399342
184,0.4118964626745767,0.11084777777777778,0.8925483178902213,0.031740200984789385
185,0.5703387565195895,0.7153266666666667,1.5335014295344245,0.25649574583266677
186,0.2702732220368311,0.2916166666666667,0.4329628370421089,0.08287350713097916
187,0.5291348529847979,0.9341444444444444,1.5966413110607225,0.4060374352909524
188,0.6029278801137066,0.07085222222222222,2.5192128828694624,0.030076742934420444
189,0.33365802119639104,0.6723088888888888,0.6098144502776116,0.24493775561440223
19,0.44569690131009765,0.7003466666666667,1.1001595546107392,0.2638925813530276
190,0.42104222469410457,0.6700444444444444,1.6163346289570757,0.23851091803663493
191,0.33327185576566554,0.6692711111111111,0.605669538863049,0.23349247846902307
192,0.42641884538375974,0.6696855555555555,1.6583641398176032,0.2513072835037115
193,0.34550999054505005,0.6920555555555555,0.679952760263456,0.24026085377128953
194,0.42094147787665304,0.6894288888888889,0.9102084089090443,0.2701893213912153
195,0.4526558621925596,0.7118411111111111,1.0909612312629091,0.25651655140159335
196,0.32860554134223213,0.7191511111111111,0.9211907071670514,0.28178122128560434
197,0.35570563298726976,0.69085,0.7179677571548453,0.24599176354845156
198,0.49033391682115923,0.9057666666666667,1.2056585835444094,0.373703615222463
199,0.4208452878506983,0.17517333333333332,0.6842030662659653,0.05091414502392155
2,0.8632046760598194,0.34862777777777776,3.743639740859345,0.12313557056594134
20,0.34597910369546403,0.6691311111111111,0.6644006370781245,0.21533490435227853
200,0.6344811851439872,0.9521977777777778,1.7692012545036209,0.39990931259901924
201,0.33098980682239526,0.6713033333333334,0.6144022853267571,0.251244083107275
202,0.38593432461994803,0.5747188888888889,0.8081756371272574,0.1674778363726613
203,0.49669165684093436,0.9428166666666666,1.3064467274914384,0.3823012096236996
204,0.351561873130639,0.6040722222222222,0.6356108294529428,0.17313076001382705
205,0.6619321974416018,0.9547355555555556,1.9643637243926706,0.397612708303279
206,0.45471220961562225,0.7152055555555555,1.0785858495682081,0.2591448717019797
207,0.34445453361759976,0.7024422222222222,0.6651226552080602,0.23915850749868905
