scenario_id,scenario_title_zh,variant,variant_label_zh,ambient_temp_c,soc0,dt_s,n_seeds,n,mean_h,p05_h,p50_h,p95_h,p_cutoff,p_soc_min,p_insufficient_power,soc_end_mean,avg_power_W_mean
S0_standby,待机/轻后台,-,基线,20.0,1.0,10.0,50,50,64.27648876023544,64.12779131906288,64.28402790772951,64.3968857928109,1.0,0.0,0.0,0.0514274916573896,0.2227590407129825
S0_standby,待机/轻后台,cond_brightness_high,高亮度,20.0,1.0,10.0,50,50,64.29854359432915,64.15327700013438,64.30179726095965,64.46612985443134,1.0,0.0,0.0,0.0513292803370849,0.2227027658078539
S0_standby,待机/轻后台,cond_radio_cellular,网络切换：蜂窝,20.0,1.0,10.0,50,50,48.586165646704885,48.33909357912615,48.59122370884397,48.80041666666667,1.0,0.0,0.0,0.0522387453726037,0.29440927872121
S0_standby,待机/轻后台,cond_signal_poor,弱信号,20.0,1.0,10.0,50,50,64.29430295761853,64.16119924630883,64.29027777777779,64.4275943761794,1.0,0.0,0.0,0.0514368253050212,0.2226955220263484
S0_standby,待机/轻后台,cond_temp_cold,低温（-15°C）,-15.0,1.0,10.0,50,50,60.257443064220794,60.13994535091941,60.24105260227079,60.422777777777775,1.0,0.0,0.0,0.0521638125508363,0.2226949744312916
S0_standby,待机/轻后台,cond_temp_hot,高温（38°C）,38.0,1.0,10.0,50,50,64.93824878622168,64.74573508777904,64.93451334110952,65.0943418706782,1.0,0.0,0.0,0.0509461685422208,0.2226648622639662
S1_video,视频播放/视频流,-,基线,20.0,1.0,10.0,50,50,10.443268530914535,10.441601492558847,10.443349104087568,10.44450973295378,1.0,0.0,0.0,0.0570520754209716,1.3605098347646034
S1_video,视频播放/视频流,cond_brightness_high,高亮度,20.0,1.0,10.0,50,50,8.930047717309066,8.928958234644206,8.93010652331222,8.930803428522788,1.0,0.0,0.0,0.0581605763342558,1.5886730384008731
S1_video,视频播放/视频流,cond_radio_cellular,网络切换：蜂窝,20.0,1.0,10.0,50,50,7.044338131462467,7.013713918032627,7.047525433064787,7.07080516203527,1.0,0.0,0.0,0.0601910409523055,2.0084562172882574
S1_video,视频播放/视频流,cond_signal_poor,弱信号,20.0,1.0,10.0,50,50,9.247444428888883,9.246522966843669,9.24733714606234,9.248514169929004,1.0,0.0,0.0,0.0578987246241614,1.534686495670638
S1_video,视频播放/视频流,cond_temp_cold,低温（-15°C）,-15.0,1.0,10.0,50,50,9.678939704433184,9.677859123488371,9.678832656791991,9.680211958978427,1.0,0.0,0.0,0.0604694200008401,1.360508683156817
S1_video,视频播放/视频流,cond_temp_hot,高温（38°C）,38.0,1.0,10.0,50,50,10.524015926923378,10.522972550775291,10.524024265568087,10.525346485072076,1.0,0.0,0.0,0.0551929667011253,1.360495661430936
S2_navigation,导航（GPS + 地图数据）,-,基线,20.0,1.0,10.0,50,50,7.568075673371736,7.5194392826932255,7.56588842124394,7.611061257085005,1.0,0.0,0.0,0.059992694034749,1.870099415495032
S2_navigation,导航（GPS + 地图数据）,cond_brightness_high,高亮度,20.0,1.0,10.0,50,50,7.256395238907187,7.216522649818982,7.258333333333334,7.289589132564696,1.0,0.0,0.0,0.0606973246732136,1.9488532290983775
S2_navigation,导航（GPS + 地图数据）,cond_radio_cellular,网络切换：蜂窝,20.0,1.0,10.0,50,50,7.574004456398036,7.52625,7.574120802274246,7.619320907543646,1.0,0.0,0.0,0.0602698972581786,1.8681579664669037
S2_navigation,导航（GPS + 地图数据）,cond_signal_poor,弱信号,20.0,1.0,10.0,50,50,7.555518816444414,7.519444444444445,7.55,7.59975390749945,1.0,0.0,0.0,0.0602108390988522,1.8727995966579984
S2_navigation,导航（GPS + 地图数据）,cond_temp_cold,低温（-15°C）,-15.0,1.0,10.0,50,50,6.980385976118142,6.9370720386978535,6.985534760821201,7.016666666666667,1.0,0.0,0.0,0.0655803018772455,1.867798361136048
S2_navigation,导航（GPS + 地图数据）,cond_temp_hot,高温（38°C）,38.0,1.0,10.0,50,50,7.628032131722685,7.590122314504967,7.629139597631852,7.671036120593715,1.0,0.0,0.0,0.0572716621266751,1.8685444678176972
S3_gaming,游戏（高 CPU/GPU 负载）,-,基线,20.0,1.0,10.0,50,50,3.3658370416622527,3.3594676782845374,3.365895677900669,3.3719011050133494,1.0,0.0,0.0,0.0691930085229395,4.114782519315817
S3_gaming,游戏（高 CPU/GPU 负载）,cond_brightness_high,高亮度,20.0,1.0,10.0,50,50,3.1816249815470927,3.175486939880538,3.1817503961847433,3.1874311771559176,1.0,0.0,0.0,0.0700526834942349,4.343707395009077
S3_gaming,游戏（高 CPU/GPU 负载）,cond_radio_cellular,网络切换：蜂窝,20.0,1.0,10.0,50,50,3.278827913565909,3.262699442938932,3.278681579276916,3.2929396605178325,1.0,0.0,0.0,0.0698178898788823,4.218842392946947
S3_gaming,游戏（高 CPU/GPU 负载）,cond_signal_poor,弱信号,20.0,1.0,10.0,50,50,3.363955180697819,3.35645217682576,3.363992270238365,3.369441249082693,1.0,0.0,0.0,0.0692943625999363,4.11663563735286
S3_gaming,游戏（高 CPU/GPU 负载）,cond_temp_cold,低温（-15°C）,-15.0,1.0,10.0,50,50,3.093280489591317,3.083653542541149,3.093781468125983,3.100935396827857,1.0,0.0,0.0,0.0800723090374155,4.116228001059634
S3_gaming,游戏（高 CPU/GPU 负载）,cond_temp_hot,高温（38°C）,38.0,1.0,10.0,50,50,3.485430159362518,3.479573092970442,3.4857009771779897,3.490647441558296,1.0,0.0,0.0,0.0633393422560291,4.0282306904540714
S4_mixed_day,混合使用（标准一天）,-,基线,20.0,1.0,10.0,50,50,39.77879201873985,39.66901847050354,39.77673961393727,39.94508096528786,1.0,0.0,0.0,0.0514358428846536,0.3595801841283688
S4_mixed_day,混合使用（标准一天）,cond_brightness_high,高亮度,20.0,1.0,10.0,50,50,35.63913370217844,35.48185823288577,35.647719175879395,35.77678832605979,1.0,0.0,0.0,0.0513734261358801,0.4012029009683114
S4_mixed_day,混合使用（标准一天）,cond_radio_cellular,网络切换：蜂窝,20.0,1.0,10.0,50,50,26.681489038089268,26.65314834794514,26.681663780825147,26.715336121060755,1.0,0.0,0.0,0.0601686971391349,0.5312070862198323
S4_mixed_day,混合使用（标准一天）,cond_signal_poor,弱信号,20.0,1.0,10.0,50,50,37.98559619256952,37.84417883495131,37.988888888888894,38.12768664117008,1.0,0.0,0.0,0.0513667517165092,0.3765048003038893
S4_mixed_day,混合使用（标准一天）,cond_temp_cold,低温（-15°C）,-15.0,1.0,10.0,50,50,35.52767349187743,35.40772642478441,35.52821761135797,35.642579493489066,1.0,0.0,0.0,0.0520513639486468,0.3759977142314962
S4_mixed_day,混合使用（标准一天）,cond_temp_hot,高温（38°C）,38.0,1.0,10.0,50,50,40.32395608504278,40.15219481980077,40.352777777777774,40.466222064583945,1.0,0.0,0.0,0.0510396737188919,0.3577285785467722
S5_burst_recovery,高负载→休止：恢复效应演示,-,基线,20.0,1.0,10.0,50,50,10.147462371608189,10.141678128830414,10.14744066965512,10.152622382729335,1.0,0.0,0.0,0.072413754340776,1.3553992580083238
S5_burst_recovery,高负载→休止：恢复效应演示,cond_brightness_high,高亮度,20.0,1.0,10.0,50,50,10.030867498425527,10.025945888606904,10.030892001407938,10.03619537729458,1.0,0.0,0.0,0.0745423770878174,1.366909136024567
S5_burst_recovery,高负载→休止：恢复效应演示,cond_radio_cellular,网络切换：蜂窝,20.0,1.0,10.0,50,50,9.85904495801009,9.494307702750994,10.0,10.0,1.0,0.0,0.0,0.0666336927499434,1.404163381144711
S5_burst_recovery,高负载→休止：恢复效应演示,cond_signal_poor,弱信号,20.0,1.0,10.0,50,50,10.146446668431564,10.140695119550376,10.146836874985896,10.151325350833352,1.0,0.0,0.0,0.0725127266361379,1.3553997727476612
S5_burst_recovery,高负载→休止：恢复效应演示,cond_temp_cold,低温（-15°C）,-15.0,1.0,10.0,50,50,9.414141809535382,9.406538856906456,9.4145227843553,9.420127289785864,1.0,0.0,0.0,0.084416452006573,1.3365777944199289
S5_burst_recovery,高负载→休止：恢复效应演示,cond_temp_hot,高温（38°C）,38.0,1.0,10.0,50,50,10.670701451637344,10.668150936980238,10.670692703545502,10.67324001759836,1.0,0.0,0.0,0.0659320828705664,1.310082155372653
