ablation_id,ablation_label_zh,scenario_id,scenario_title_zh,delta_tte_h,delta_tte_pct,tte_base_h,tte_variant_h,delta_margin,p_cutoff_delta
no_screen_markov,去掉待机随机亮屏,S1_video,视频播放/视频流,0.0,0.0,5.035816362493332,5.035816362493332,0.0,0.0
no_screen_markov,去掉待机随机亮屏,S2_navigation,导航（GPS + 地图数据）,0.0,0.0,5.905329300798938,5.905329300798938,0.0,0.0
no_screen_markov,去掉待机随机亮屏,S3_gaming,游戏（高 CPU/GPU 负载）,0.0,0.0,3.8438349854525526,3.8438349854525526,0.0,0.0
no_screen_markov,去掉待机随机亮屏,S4_mixed_day,混合使用（标准一天）,0.12162873046344203,0.673880978944796,18.048992962213553,18.170621692676995,2.813876842977514e-06,0.0
no_screen_markov,去掉待机随机亮屏,S5_burst_recovery,高负载→休止：恢复效应演示,0.009174885861899185,0.09130666866224847,10.048429097591884,10.057603983453783,0.0006953292498156349,0.0
no_signal_jitter,去掉蜂窝信号抖动,S0_standby,待机/轻后台,0.0,0.0,25.427982431791907,25.427982431791907,0.0,0.0
no_signal_jitter,去掉蜂窝信号抖动,S1_video,视频播放/视频流,0.0,0.0,5.035816362493332,5.035816362493332,0.0,0.0
no_signal_jitter,去掉蜂窝信号抖动,S2_navigation,导航（GPS + 地图数据）,0.003202806998096719,0.05423587466432072,5.905329300798938,5.9085321077970345,8.969332654640283e-05,0.0
no_signal_jitter,去掉蜂窝信号抖动,S3_gaming,游戏（高 CPU/GPU 负载）,0.0,0.0,3.8438349854525526,3.8438349854525526,0.0,0.0
no_signal_jitter,去掉蜂窝信号抖动,S4_mixed_day,混合使用（标准一天）,0.0029368852502678067,0.01627174023734354,18.048992962213553,18.05192984746382,1.829682478193817e-06,0.0
no_signal_jitter,去掉蜂窝信号抖动,S5_burst_recovery,高负载→休止：恢复效应演示,0.0,0.0,10.048429097591884,10.048429097591884,0.0,0.0
no_signal_penalty,去掉弱信号惩罚,S0_standby,待机/轻后台,0.0,0.0,25.427982431791907,25.427982431791907,0.0,0.0
no_signal_penalty,去掉弱信号惩罚,S1_video,视频播放/视频流,0.0,0.0,5.035816362493332,5.035816362493332,0.0,0.0
no_signal_penalty,去掉弱信号惩罚,S2_navigation,导航（GPS + 地图数据）,0.003202806998096719,0.05423587466432072,5.905329300798938,5.9085321077970345,8.969332654640283e-05,0.0
no_signal_penalty,去掉弱信号惩罚,S3_gaming,游戏（高 CPU/GPU 负载）,0.0,0.0,3.8438349854525526,3.8438349854525526,0.0,0.0
no_signal_penalty,去掉弱信号惩罚,S4_mixed_day,混合使用（标准一天）,0.0029368852502678067,0.01627174023734354,18.048992962213553,18.05192984746382,1.829682478193817e-06,0.0
