t_s,t_h,step_index,i_A,v_meas_V,v_pred_V,soc,v1_V,v2_V,h,z,v_cut_V
0.0,0.0,1,-0.0,3.4342565536499023,3.4344184398651123,0.10668943193223761,0.0,0.0,0.0,0.0,3.3
1.0155583970172042,0.00028209955472700116,1,-0.0,3.4344184398651123,3.4344184398651123,0.10668943193223761,0.0,0.0,0.0,0.0,3.3
2.0310490457058687,0.0005641802904738524,1,-0.0,3.4345805644989014,3.4344184398651123,0.10668943193223761,0.0,0.0,0.0,0.0,3.3
3.0313494023612515,0.0008420415006559032,1,-0.0,3.4345805644989014,3.4344184398651123,0.10668943193223761,0.0,0.0,0.0,0.0,3.3
4.0467777312090805,0.0011241049253358556,1,-0.0,3.4342565536499023,3.4344184398651123,0.10668943193223761,0.0,0.0,0.0,0.0,3.3
5.062287527472105,0.0014061909798533624,1,-0.0,3.4345805644989014,3.4344184398651123,0.10668943193223761,0.0,0.0,0.0,0.0,3.3
6.062348323912491,0.0016839856455312474,1,-0.0,3.4344184398651123,3.4344184398651123,0.10668943193223761,0.0,0.0,0.0,0.0,3.3
7.076983306600246,0.001965828696277846,1,-0.0,3.4347424507141113,3.4344184398651123,0.10668943193223761,0.0,0.0,0.0,0.0,3.3
8.078153263878713,0.0022439314621885316,1,-0.0,3.4344184398651123,3.4344184398651123,0.10668943193223761,0.0,0.0,0.0,0.0,3.3
9.092576079412694,0.0025257155776146375,1,-0.0,3.4344184398651123,3.4344184398651123,0.10668943193223761,0.0,0.0,0.0,0.0,3.3
10.093292875760543,0.0028036924654890397,1,-0.0,3.4342565536499023,3.4344184398651123,0.10668943193223761,0.0,0.0,0.0,0.0,3.3
11.093530702052021,0.0030815363061255613,1,-0.0,3.4344184398651123,3.4344184398651123,0.10668943193223761,0.0,0.0,0.0,0.0,3.3
12.108959998303476,0.0033635999995287433,1,-0.0,3.4344184398651123,3.4344184398651123,0.10668943193223761,0.0,0.0,0.0,0.0,3.3
13.109158226208196,0.003641432840613388,1,-0.0,3.4345805644989014,3.4344184398651123,0.10668943193223761,0.0,0.0,0.0,0.0,3.3
14.124727916284305,0.003923535532301196,1,-0.0,3.4344184398651123,3.4344184398651123,0.10668943193223761,0.0,0.0,0.0,0.0,3.3
15.124733420344395,0.004201314838984554,1,-0.0,3.4344184398651123,3.4344184398651123,0.10668943193223761,0.0,0.0,0.0,0.0,3.3
16.139832230464926,0.0044832867306847015,1,-0.0,3.4344184398651123,3.4344184398651123,0.10668943193223761,0.0,0.0,0.0,0.0,3.3
17.13994287074809,0.004761095241874469,1,-0.0,3.4344184398651123,3.4344184398651123,0.10668943193223761,0.0,0.0,0.0,0.0,3.3
18.155979330567487,0.005043327591824302,1,-0.0,3.4345805644989014,3.4344184398651123,0.10668943193223761,0.0,0.0,0.0,0.0,3.3
19.17179162843064,0.005325497674564066,1,-0.0,3.4344184398651123,3.4344184398651123,0.10668943193223761,0.0,0.0,0.0,0.0,3.3
20.171803388033343,0.005603278718898151,1,-0.0,3.4345805644989014,3.4344184398651123,0.10668943193223761,0.0,0.0,0.0,0.0,3.3
21.18619992828335,0.0058850555356342645,1,-0.0,3.4344184398651123,3.4344184398651123,0.10668943193223761,0.0,0.0,0.0,0.0,3.3
22.187189146494752,0.006163108096248543,1,-0.0,3.4342565536499023,3.4344184398651123,0.10668943193223761,0.0,0.0,0.0,0.0,3.3
23.202834459464672,0.006445231794295742,1,-0.0,3.4345805644989014,3.4344184398651123,0.10668943193223761,0.0,0.0,0.0,0.0,3.3
24.218211977066094,0.0067272811047405815,1,-0.0,3.4344184398651123,3.4344184398651123,0.10668943193223761,0.0,0.0,0.0,0.0,3.3
25.218398245255518,0.007005110623682088,1,-0.0,3.4344184398651123,3.4344184398651123,0.10668943193223761,0.0,0.0,0.0,0.0,3.3
26.218521787595332,0.007282922718776481,1,-0.0,3.4344184398651123,3.4344184398651123,0.10668943193223761,0.0,0.0,0.0,0.0,3.3
27.233996356331502,0.007564998987869862,1,-0.0,3.4345805644989014,3.4344184398651123,0.10668943193223761,0.0,0.0,0.0,0.0,3.3
28.24851013286859,0.007846808370241275,1,-0.0,3.4344184398651123,3.4344184398651123,0.10668943193223761,0.0,0.0,0.0,0.0,3.3
29.24960653739676,0.008124890704832435,1,-0.0,3.4344184398651123,3.4344184398651123,0.10668943193223761,0.0,0.0,0.0,0.0,3.3
30.265240246535623,0.008407011179593228,1,-0.0,3.4345805644989014,3.4344184398651123,0.10668943193223761,0.0,0.0,0.0,0.0,3.3
31.26525770529855,0.008684793807027375,1,-0.0,3.4344184398651123,3.4344184398651123,0.10668943193223761,0.0,0.0,0.0,0.0,3.3
32.28081561109526,0.008966893225304237,1,-0.0,3.4344184398651123,3.4344184398651123,0.10668943193223761,0.0,0.0,0.0,0.0,3.3
33.296404067799216,0.009249001129944227,1,-0.0,3.4345805644989014,3.4344184398651123,0.10668943193223761,0.0,0.0,0.0,0.0,3.3
34.31106076443779,0.00953085021234383,1,-0.0,3.4344184398651123,3.4344184398651123,0.10668943193223761,0.0,0.0,0.0,0.0,3.3
35.312078247877416,0.009808910624410394,1,-0.0,3.4344184398651123,3.4344184398651123,0.10668943193223761,0.0,0.0,0.0,0.0,3.3
36.32762785806272,0.010091007738350755,1,-0.0,3.4344184398651123,3.4344184398651123,0.10668943193223761,0.0,0.0,0.0,0.0,3.3
37.343150756880554,0.01037309743246682,1,-0.0,3.4344184398651123,3.4344184398651123,0.10668943193223761,0.0,0.0,0.0,0.0,3.3
38.35884780840087,0.010655235502333575,1,-0.0,3.4344184398651123,3.4344184398651123,0.10668943193223761,0.0,0.0,0.0,0.0,3.3
39.3745082188823,0.010937363394133972,1,-0.0,3.4345805644989014,3.4344184398651123,0.10668943193223761,0.0,0.0,0.0,0.0,3.3
40.39009037994401,0.011219469549984448,1,-0.0,3.4344184398651123,3.4344184398651123,0.10668943193223761,0.0,0.0,0.0,0.0,3.3
41.39011033992149,0.011497252872200414,1,-0.0,3.4344184398651123,3.4344184398651123,0.10668943193223761,0.0,0.0,0.0,0.0,3.3
42.40568618027869,0.011779357272299637,1,-0.0,3.4345805644989014,3.4344184398651123,0.10668943193223761,0.0,0.0,0.0,0.0,3.3
43.42133108222738,0.012061480856174273,1,-0.0,3.4342565536499023,3.4344184398651123,0.10668943193223761,0.0,0.0,0.0,0.0,3.3
44.43594339859805,0.012343317610721681,1,-0.0,3.4345805644989014,3.4344184398651123,0.10668943193223761,0.0,0.0,0.0,0.0,3.3
